symbol;name;open;high;low;close;volume;financial_volume;trades;bid;ask;category;due_date;maturity_type;strike;contract_size;exchange_id;created_at;updated_at;variation;spot_price;isin;security_category;market_maker;block_date;days_to_maturity;quotationForm;bid_volume;ask_volume;time;type;last_trade_at;strike_eod;cnpj;warning
B3SAF860W4;B3 ON, R$ 8.52, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-06-28;AMERICAN;8.52;100;BOVESPA;2024-06-22T10:18:38.887Z;2024-06-22T10:18:38.887Z;0.0;10.39;BRB3SA3F0DQ5;7;False;2024-06-27;4;;0;0;1719234000000;CALL;-62167294412000;8.52;;
B3SAR860W4;B3 ON, R$ 8.52, 28-06-2024;0.0;0.0;0.0;0.01;0;0;0;0.0;0.0;PUT;2024-06-28;EUROPEAN;8.52;100;BOVESPA;2024-06-22T10:18:38.869Z;2024-06-22T10:18:38.869Z;0.0;10.39;BRB3SA3R0DR9;7;False;2024-06-27;4;;0;0;1719234000000;PUT;1718298815000;8.52;;
B3SAF880W4;B3 ON, R$ 8.72, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-06-28;AMERICAN;8.72;100;BOVESPA;2024-06-22T10:18:38.480Z;2024-06-22T10:18:38.480Z;0.0;10.39;BRB3SA3F0DR3;7;False;2024-06-27;4;;0;0;1719234000000;CALL;-62167294412000;8.72;;
B3SAR880W4;B3 ON, R$ 8.72, 28-06-2024;0.0;0.0;0.0;0.02;0;0;0;0.0;0.0;PUT;2024-06-28;EUROPEAN;8.72;100;BOVESPA;2024-06-22T10:18:38.581Z;2024-06-22T10:18:38.581Z;0.0;10.39;BRB3SA3R0DL2;7;False;2024-06-27;4;;0;0;1719234000000;PUT;1718298675000;8.72;;
B3SAF900W4;B3 ON, R$ 8.92, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-06-28;AMERICAN;8.92;100;BOVESPA;2024-06-22T10:18:38.707Z;2024-06-22T10:18:38.707Z;0.0;10.39;BRB3SA3F0DJ0;7;False;2024-06-27;4;;0;0;1719234000000;CALL;-62167294412000;8.92;;
B3SAR900W4;B3 ON, R$ 8.92, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;PUT;2024-06-28;EUROPEAN;8.92;100;BOVESPA;2024-06-22T10:18:38.799Z;2024-06-22T10:18:38.799Z;0.0;10.39;BRB3SA3R0DK4;7;False;2024-06-27;4;;0;0;1719234000000;PUT;-62167294412000;8.92;;
B3SAF920W4;B3 ON, R$ 9.12, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-06-28;AMERICAN;9.12;100;BOVESPA;2024-06-22T10:18:38.970Z;2024-06-22T10:18:38.970Z;0.0;10.39;BRB3SA3F0DS1;7;False;2024-06-27;4;;0;0;1719234000000;CALL;-62167294412000;9.12;;
B3SAR920W4;B3 ON, R$ 9.12, 28-06-2024;0.0;0.0;0.0;0.03;0;0;0;0.0;0.0;PUT;2024-06-28;EUROPEAN;9.12;100;BOVESPA;2024-06-22T10:18:38.961Z;2024-06-22T10:18:38.961Z;0.0;10.39;BRB3SA3R0DD9;7;False;2024-06-27;4;;0;0;1719234000000;PUT;1718303762000;9.12;;
B3SAF940W4;B3 ON, R$ 9.32, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-06-28;AMERICAN;9.32;100;BOVESPA;2024-06-22T10:18:38.571Z;2024-06-22T10:18:38.571Z;0.0;10.39;BRB3SA3F0DN2;7;False;2024-06-27;4;;0;0;1719234000000;CALL;-62167294412000;9.32;;
B3SAR940W4;B3 ON, R$ 9.32, 28-06-2024;0.0;0.0;0.0;0.02;0;0;0;0.0;0.01;PUT;2024-06-28;EUROPEAN;9.32;100;BOVESPA;2024-06-22T10:18:38.687Z;2024-06-22T10:18:38.687Z;0.0;10.39;BRB3SA3R0DH0;7;False;2024-06-27;4;;0;126400;1719244077000;PUT;1718632458000;9.32;;
B3SAF960W4;B3 ON, R$ 9.52, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-06-28;AMERICAN;9.52;100;BOVESPA;2024-06-22T10:18:38.931Z;2024-06-22T10:18:38.931Z;0.0;10.39;BRB3SA3F0DC5;7;False;2024-06-27;4;;0;0;1719234000000;CALL;-62167294412000;9.52;;
B3SAR960W4;B3 ON, R$ 9.52, 28-06-2024;0.0;0.0;0.0;0.07;0;0;0;0.0;0.02;PUT;2024-06-28;EUROPEAN;9.52;100;BOVESPA;2024-06-22T10:18:39.001Z;2024-06-22T10:18:39.001Z;0.0;10.39;BRB3SA3R0DQ1;7;False;2024-06-27;4;;0;126400;1719244077000;PUT;1718375093000;9.52;;
B3SAF980W4;B3 ON, R$ 9.72, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-06-28;AMERICAN;9.72;100;BOVESPA;2024-06-22T10:18:38.537Z;2024-06-22T10:18:38.537Z;0.0;10.39;BRB3SA3F0DE1;7;False;2024-06-27;4;;0;0;1719234000000;CALL;-62167294412000;9.72;;
B3SAR980W4;B3 ON, R$ 9.72, 28-06-2024;0.0;0.0;0.0;0.02;0;0;0;0.0;0.01;PUT;2024-06-28;EUROPEAN;9.72;100;BOVESPA;2024-06-22T10:18:38.510Z;2024-06-22T10:18:38.510Z;0.0;10.39;BRB3SA3R0DM0;7;True;2024-06-27;4;;0;100;1719244077000;PUT;1719216335000;9.72;;
B3SAF100W4;B3 ON, R$ 9.92, 28-06-2024;0.68;0.68;0.68;0.68;100;68;0;0.67;0.73;CALL;2024-06-28;AMERICAN;9.92;100;BOVESPA;2024-06-22T10:18:38.389Z;2024-06-22T10:18:38.389Z;38.776;10.56;BRB3SA3F0D80;7;True;2024-06-27;4;;20000;5500;1719244936000;CALL;1719235401000;9.92;;
B3SAR100W4;B3 ON, R$ 9.92, 28-06-2024;0.02;0.02;0.02;0.02;1000;20;0;0.0;0.02;PUT;2024-06-28;EUROPEAN;9.92;100;BOVESPA;2024-06-22T10:18:38.506Z;2024-06-22T10:18:38.506Z;-66.667;10.39;BRB3SA3R0DB3;7;True;2024-06-27;4;;0;23400;1719244077000;PUT;1719235549000;9.92;;
B3SAF105W4;B3 ON, R$ 10.42, 28-06-2024;0.25;0.29;0.25;0.27;9400;2589;0;0.25;0.29;CALL;2024-06-28;AMERICAN;10.42;100;BOVESPA;2024-06-22T10:18:38.374Z;2024-06-22T10:18:38.374Z;50.0;10.39;BRB3SA3F0DF8;7;True;2024-06-27;4;;5500;5500;1719244880000;CALL;1719243142000;10.42;;
B3SAR105W4;B3 ON, R$ 10.42, 28-06-2024;0.07;0.09;0.07;0.09;16100;1397;0;0.08;0.1;PUT;2024-06-28;EUROPEAN;10.42;100;BOVESPA;2024-06-22T10:18:38.423Z;2024-06-22T10:18:38.423Z;-40.0;10.59;BRB3SA3R0DT5;7;True;2024-06-27;4;;5500;5500;1719245297000;PUT;1719245297000;10.42;;
B3SAF110W4;B3 ON, R$ 10.92, 28-06-2024;0.04;0.06;0.04;0.05;167300;7924;0;0.03;0.05;CALL;2024-06-28;AMERICAN;10.92;100;BOVESPA;2024-06-22T10:18:38.513Z;2024-06-22T10:18:38.513Z;25.0;10.39;BRB3SA3F0DL6;7;True;2024-06-27;4;;126400;700;1719244077000;CALL;1719241310000;10.92;;
B3SAR110W4;B3 ON, R$ 10.92, 28-06-2024;0.35;0.36;0.35;0.36;400;141;0;0.34;0.38;PUT;2024-06-28;EUROPEAN;10.92;100;BOVESPA;2024-06-22T10:18:38.675Z;2024-06-22T10:18:38.675Z;-30.769;10.6;BRB3SA3R0DI8;7;True;2024-06-27;4;;20000;5500;1719245024000;PUT;1719239821000;10.92;;
B3SAF115W4;B3 ON, R$ 11.42, 28-06-2024;0.0;0.0;0.0;0.02;0;0;0;0.0;0.02;CALL;2024-06-28;AMERICAN;11.42;100;BOVESPA;2024-06-22T10:18:38.580Z;2024-06-22T10:18:38.580Z;0.0;10.39;BRB3SA3F0DO0;7;True;2024-06-27;4;;0;126400;1719244077000;CALL;1718718576000;11.42;;
B3SAR115W4;B3 ON, R$ 11.42, 28-06-2024;0.0;0.0;0.0;0.91;0;0;0;0.0;0.0;PUT;2024-06-28;EUROPEAN;11.42;100;BOVESPA;2024-06-22T10:18:38.697Z;2024-06-22T10:18:38.697Z;0.0;10.39;BRB3SA3R0DO6;7;False;2024-06-27;4;;0;0;1719234000000;PUT;1718895070000;11.42;;
