symbol;name;open;high;low;close;volume;financial_volume;trades;bid;ask;category;due_date;maturity_type;strike;contract_size;exchange_id;created_at;updated_at;variation;spot_price;isin;security_category;market_maker;block_date;days_to_maturity;quotationForm;bid_volume;ask_volume;time;type;last_trade_at;strike_eod;cnpj;warning;quotation_form
BBASF200W4;BRASIL ON, R$ 19.42, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-06-28;AMERICAN;19.42;100;BOVESPA;2024-06-22T10:18:38.998Z;2024-06-22T10:18:38.998Z;0.0;26.61;BRBBAS3F1176;7;False;2024-06-27;4;;0;0;1719234000000;CALL;-62167294412000;19.42;;;
BBASR200W4;BRASIL ON, R$ 19.42, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.02;PUT;2024-06-28;EUROPEAN;19.42;100;BOVESPA;2024-06-22T10:18:38.915Z;2024-06-22T10:18:38.915Z;0.0;26.61;BRBBAS3R10W5;7;False;2024-06-27;4;;0;100;1719244077000;PUT;-62167294412000;19.42;;;
BBASF205W4;BRASIL ON, R$ 19.92, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-06-28;AMERICAN;19.92;100;BOVESPA;2024-06-22T10:18:38.991Z;2024-06-22T10:18:38.991Z;0.0;26.61;BRBBAS3F1184;7;False;2024-06-27;4;;0;0;1719234000000;CALL;-62167294412000;19.92;;;
BBASR205W4;BRASIL ON, R$ 19.92, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;PUT;2024-06-28;EUROPEAN;19.92;100;BOVESPA;2024-06-22T10:18:38.423Z;2024-06-22T10:18:38.423Z;0.0;26.61;BRBBAS3R1149;7;False;2024-06-27;4;;0;0;1719236771000;PUT;-62167294412000;19.92;;;
BBASF210W4;BRASIL ON, R$ 20.42, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-06-28;AMERICAN;20.42;100;BOVESPA;2024-06-22T10:18:38.335Z;2024-06-22T10:18:38.335Z;0.0;26.61;BRBBAS3F10V2;7;False;2024-06-27;4;;0;0;1719234000000;CALL;-62167294412000;20.42;;;
BBASR210W4;BRASIL ON, R$ 20.42, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;PUT;2024-06-28;EUROPEAN;20.42;100;BOVESPA;2024-06-22T10:18:38.376Z;2024-06-22T10:18:38.376Z;0.0;26.61;BRBBAS3R10S3;7;False;2024-06-27;4;;0;0;1719234000000;PUT;-62167294412000;20.42;;;
BBASF220W4;BRASIL ON, R$ 21.42, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-06-28;AMERICAN;21.42;100;BOVESPA;2024-06-22T10:18:38.552Z;2024-06-22T10:18:38.552Z;0.0;26.61;BRBBAS3F10T6;7;False;2024-06-27;4;;0;0;1719234000000;CALL;-62167294412000;21.42;;;
BBASR220W4;BRASIL ON, R$ 21.42, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;PUT;2024-06-28;EUROPEAN;21.42;100;BOVESPA;2024-06-22T10:18:38.555Z;2024-06-22T10:18:38.555Z;0.0;26.61;BRBBAS3R1172;7;False;2024-06-27;4;;0;0;1719234000000;PUT;-62167294412000;21.42;;;
BBASF225W4;BRASIL ON, R$ 21.92, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-06-28;AMERICAN;21.92;100;BOVESPA;2024-06-22T10:18:38.694Z;2024-06-22T10:18:38.694Z;0.0;26.61;BRBBAS3F10W0;7;False;2024-06-27;4;;0;0;1719234000000;CALL;-62167294412000;21.92;;;
BBASR225W4;BRASIL ON, R$ 21.92, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;PUT;2024-06-28;EUROPEAN;21.92;100;BOVESPA;2024-06-22T10:18:38.570Z;2024-06-22T10:18:38.570Z;0.0;26.61;BRBBAS3R10U9;7;False;2024-06-27;4;;0;0;1719234000000;PUT;-62167294412000;21.92;;;
