symbol;name;open;high;low;close;volume;financial_volume;trades;bid;ask;category;due_date;maturity_type;strike;contract_size;exchange_id;created_at;updated_at;variation;spot_price;isin;security_category;market_maker;block_date;days_to_maturity;quotationForm;bid_volume;ask_volume;time;type;last_trade_at;strike_eod;cnpj;lastUpdatedDividendsAt;warning;quotation_form
BBDCF880W4;BRADESCO PN, R$ 8.44, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-06-28;AMERICAN;8.44;100;BOVESPA;2024-06-22T10:18:38.973Z;2024-06-22T10:18:38.973Z;0.0;12.4;BRBBDC4F1801;7;False;2024-06-27;4;;0;0;1719234000000;CALL;-62167294412000;8.44;;;;
BBDCR880W4;BRADESCO PN, R$ 8.44, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;PUT;2024-06-28;EUROPEAN;8.44;100;BOVESPA;2024-06-22T10:18:38.958Z;2024-06-22T10:18:38.958Z;0.0;12.4;BRBBDC4R17N2;7;False;2024-06-27;4;;0;0;1719234000000;PUT;-62167294412000;8.44;;;;
BBDCF900W4;BRADESCO PN, R$ 8.64, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-06-28;AMERICAN;8.64;100;BOVESPA;2024-06-22T10:18:38.369Z;2024-06-22T10:18:38.369Z;0.0;12.4;BRBBDC4F17D8;7;False;2024-06-27;4;;0;0;1719234000000;CALL;-62167294412000;8.64;;;;
BBDCR900W4;BRADESCO PN, R$ 8.64, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;PUT;2024-06-28;EUROPEAN;8.64;100;BOVESPA;2024-06-22T10:18:38.441Z;2024-06-22T10:18:38.441Z;0.0;12.4;BRBBDC4R17Q5;7;False;2024-06-27;4;;0;0;1719234000000;PUT;-62167294412000;8.64;;;;
BBDCF920W4;BRADESCO PN, R$ 8.84, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-06-28;AMERICAN;8.84;100;BOVESPA;2024-06-22T10:18:38.792Z;2024-06-22T10:18:38.792Z;0.0;12.4;BRBBDC4F17G1;7;False;2024-06-27;4;;0;0;1719234000000;CALL;-62167294412000;8.84;;;;
BBDCR920W4;BRADESCO PN, R$ 8.84, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;PUT;2024-06-28;EUROPEAN;8.84;100;BOVESPA;2024-06-22T10:18:38.866Z;2024-06-22T10:18:38.866Z;0.0;12.4;BRBBDC4R17M4;7;False;2024-06-27;4;;0;0;1719234000000;PUT;-62167294412000;8.84;;;;
BBDCF940W4;BRADESCO PN, R$ 9.04, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-06-28;AMERICAN;9.04;100;BOVESPA;2024-06-22T10:18:38.341Z;2024-06-22T10:18:38.341Z;0.0;12.4;BRBBDC4F17N7;7;False;2024-06-27;4;;0;0;1719234000000;CALL;-62167294412000;9.04;;;;
BBDCR940W4;BRADESCO PN, R$ 9.04, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;PUT;2024-06-28;EUROPEAN;9.04;100;BOVESPA;2024-06-22T10:18:38.306Z;2024-06-22T10:18:38.306Z;0.0;12.4;BRBBDC4R17Z6;7;False;2024-06-27;4;;0;0;1719234000000;PUT;-62167294412000;9.04;;;;
BBDCF960W4;BRADESCO PN, R$ 9.24, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-06-28;AMERICAN;9.24;100;BOVESPA;2024-06-22T10:18:38.675Z;2024-06-22T10:18:38.675Z;0.0;12.4;BRBBDC4F1819;7;False;2024-06-27;4;;0;0;1719234000000;CALL;-62167294412000;9.24;;;;
BBDCR960W4;BRADESCO PN, R$ 9.24, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;PUT;2024-06-28;EUROPEAN;9.24;100;BOVESPA;2024-06-22T10:18:38.775Z;2024-06-22T10:18:38.775Z;0.0;12.4;BRBBDC4R1864;7;False;2024-06-27;4;;0;0;1719234000000;PUT;-62167294412000;9.24;;;;
BBDCF980W4;BRADESCO PN, R$ 9.44, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-06-28;AMERICAN;9.44;100;BOVESPA;2024-06-22T10:18:39.008Z;2024-06-22T10:18:39.008Z;0.0;12.4;BRBBDC4F17Y4;7;False;2024-06-27;4;;0;0;1719234000000;CALL;-62167294412000;9.44;;;;
BBDCR980W4;BRADESCO PN, R$ 9.44, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;PUT;2024-06-28;EUROPEAN;9.44;100;BOVESPA;2024-06-22T10:18:38.392Z;2024-06-22T10:18:38.392Z;0.0;12.4;BRBBDC4R1815;7;False;2024-06-27;4;;0;0;1719234000000;PUT;-62167294412000;9.44;;;;
BBDCF100W4;BRADESCO PN, R$ 9.64, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-06-28;AMERICAN;9.64;100;BOVESPA;2024-06-22T10:18:38.905Z;2024-06-22T10:18:38.905Z;0.0;12.4;BRBBDC4F17Z1;7;False;2024-06-27;4;;0;0;1719234000000;CALL;-62167294412000;9.64;;;;
BBDCR100W4;BRADESCO PN, R$ 9.64, 28-06-2024;0.0;0.0;0.0;0.01;0;0;0;0.0;0.0;PUT;2024-06-28;EUROPEAN;9.64;100;BOVESPA;2024-06-22T10:18:38.897Z;2024-06-22T10:18:38.897Z;0.0;12.4;BRBBDC4R17K8;7;False;2024-06-27;4;;0;0;1719234000000;PUT;1718720034000;9.64;;;;
BBDCF105W4;BRADESCO PN, R$ 10.14, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-06-28;AMERICAN;10.14;100;BOVESPA;2024-06-22T10:18:38.880Z;2024-06-22T10:18:38.880Z;0.0;12.4;BRBBDC4F17R8;7;False;2024-06-27;4;;0;0;1719234000000;CALL;-62167294412000;10.14;;;;
BBDCR105W4;BRADESCO PN, R$ 10.14, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;PUT;2024-06-28;EUROPEAN;10.14;100;BOVESPA;2024-06-22T10:18:38.877Z;2024-06-22T10:18:38.877Z;0.0;12.4;BRBBDC4R17V5;7;False;2024-06-27;4;;0;0;1719234000000;PUT;-62167294412000;10.14;;;;
BBDCF110W4;BRADESCO PN, R$ 10.64, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-06-28;AMERICAN;10.64;100;BOVESPA;2024-06-22T10:18:38.989Z;2024-06-22T10:18:38.989Z;0.0;12.4;BRBBDC4F17I7;7;False;2024-06-27;4;;0;0;1719234000000;CALL;-62167294412000;10.64;;;;
BBDCR110W4;BRADESCO PN, R$ 10.64, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;PUT;2024-06-28;EUROPEAN;10.64;100;BOVESPA;2024-06-22T10:18:38.384Z;2024-06-22T10:18:38.384Z;0.0;12.4;BRBBDC4R17U7;7;False;2024-06-27;4;;0;0;1719234000000;PUT;-62167294412000;10.64;;;;
BBDCF115W4;BRADESCO PN, R$ 11.14, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-06-28;AMERICAN;11.14;100;BOVESPA;2024-06-22T10:18:38.351Z;2024-06-22T10:18:38.351Z;0.0;12.4;BRBBDC4F17E6;7;False;2024-06-27;4;;0;0;1719234000000;CALL;-62167294412000;11.14;;;;
BBDCR115W4;BRADESCO PN, R$ 11.14, 28-06-2024;0.0;0.0;0.0;0.01;0;0;0;0.0;0.06;PUT;2024-06-28;EUROPEAN;11.14;100;BOVESPA;2024-06-22T10:18:38.362Z;2024-06-22T10:18:38.362Z;0.0;12.4;BRBBDC4R1849;7;False;2024-06-27;4;;0;100;1719241486000;PUT;1718906477000;11.14;;;;
BBDCF120W4;BRADESCO PN, R$ 11.64, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-06-28;AMERICAN;11.64;100;BOVESPA;2024-06-22T10:18:38.494Z;2024-06-22T10:18:38.494Z;0.0;12.4;BRBBDC4F17Q0;7;False;2024-06-27;4;;0;0;1719234000000;CALL;-62167294412000;11.64;;;;
BBDCR120W4;BRADESCO PN, R$ 11.64, 28-06-2024;0.0;0.0;0.0;0.02;0;0;0;0.0;0.02;PUT;2024-06-28;EUROPEAN;11.64;100;BOVESPA;2024-06-22T10:18:38.569Z;2024-06-22T10:18:38.569Z;0.0;12.4;BRBBDC4R17T9;7;True;2024-06-27;4;;0;149100;1719236996000;PUT;1719216330000;11.64;;;;
BBDCF125W4;BRADESCO PN, R$ 12.14, 28-06-2024;0.36;0.43;0.36;0.43;50100;20081;0;0.34;0.37;CALL;2024-06-28;AMERICAN;12.14;100;BOVESPA;2024-06-22T10:18:38.467Z;2024-06-22T10:18:38.467Z;19.444;12.53;BRBBDC4F17X6;7;True;2024-06-27;4;;10000;25000;1719245196000;CALL;1719241188000;12.14;;;;
BBDCR125W4;BRADESCO PN, R$ 12.14, 28-06-2024;0.02;0.03;0.02;0.03;1500;38;0;0.02;0.04;PUT;2024-06-28;EUROPEAN;12.14;100;BOVESPA;2024-06-22T10:18:38.546Z;2024-06-22T10:18:38.546Z;-40.0;12.4;BRBBDC4R17Y9;7;True;2024-06-27;4;;42100;149100;1719243340000;PUT;1719243340000;12.14;;;;
BBDCF130W4;BRADESCO PN, R$ 12.64, 28-06-2024;0.06;0.1;0.05;0.05;124400;9294;0;0.05;0.06;CALL;2024-06-28;AMERICAN;12.64;100;BOVESPA;2024-06-22T10:18:38.614Z;2024-06-22T10:18:38.614Z;-16.667;12.45;BRBBDC4F17J5;7;True;2024-06-27;4;;1700;10000;1719245144000;CALL;1719245144000;12.64;;;;
BBDCR130W4;BRADESCO PN, R$ 12.64, 28-06-2024;0.17;0.21;0.17;0.21;26700;4866;0;0.21;0.24;PUT;2024-06-28;EUROPEAN;12.64;100;BOVESPA;2024-06-22T10:18:38.788Z;2024-06-22T10:18:38.788Z;-16.0;12.47;BRBBDC4R17P7;7;True;2024-06-27;4;;25000;2900;1719245188000;PUT;1719243510000;12.64;;;;
BBDCF135W4;BRADESCO PN, R$ 13.14, 28-06-2024;0.01;0.01;0.01;0.01;200;2;0;0.0;0.01;CALL;2024-06-28;AMERICAN;13.14;100;BOVESPA;2024-06-22T10:18:38.686Z;2024-06-22T10:18:38.686Z;-50.0;12.4;BRBBDC4F17P2;7;True;2024-06-27;4;;0;1800;1719243546000;CALL;1719243546000;13.14;;;;
BBDCR135W4;BRADESCO PN, R$ 13.14, 28-06-2024;0.43;0.61;0.43;0.61;6100;3703;0;0.45;0.7;PUT;2024-06-28;EUROPEAN;13.14;100;BOVESPA;2024-06-22T10:18:38.775Z;2024-06-22T10:18:38.775Z;-10.294;12.53;BRBBDC4R1856;7;False;2024-06-27;4;;2700;500;1719240478000;PUT;1719240478000;13.14;;;;
BBDCF140W4;BRADESCO PN, R$ 13.64, 28-06-2024;0.0;0.0;0.0;0.01;0;0;0;0.0;0.01;CALL;2024-06-28;AMERICAN;13.64;100;BOVESPA;2024-06-22T10:18:38.812Z;2024-06-22T10:18:38.812Z;0.0;12.4;BRBBDC4F17W8;7;True;2024-06-27;4;;0;1000;1719235741000;CALL;1718891021000;13.64;;;;
