symbol;block_date;category;contract_size;days_to_maturity;due_date;exchange_id;isin;market_maker;maturity_type;name;strike;updated_at;close;created_at;financial_volume;high;low;open;variation;volume;cnpj;ask;bid;quotationForm;security_category;spot_price;trades;bid_volume;ask_volume;time;type;last_trade_at;strike_eod;warning;has_options
BRFSG710;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRBRFS3G0KG2;False;EUROPEAN;BRF SA ON, R$ 7.10, 19-07-2024;7.1;2024-06-22T10:18:38.597Z;0.0;2024-06-22T10:18:38.597Z;0;0.0;0.0;0.0;0.0;0;01838723000127;0.0;0.0;;7;20.55;0;0;0;1719234000000;CALL;1688582413000;7.1;;
BRFSS710;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRBRFS3S0KA1;False;EUROPEAN;BRF SA ON, R$ 7.10, 19-07-2024;7.1;2024-06-22T10:18:38.958Z;0.0;2024-06-22T10:18:38.958Z;0;0.0;0.0;0.0;0.0;0;01838723000127;0.0;0.0;;7;20.55;0;0;0;1719234000000;PUT;1688582413000;7.1;;
BRFSG750;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRBRFS3G0KI8;False;EUROPEAN;BRF SA ON, R$ 7.50, 19-07-2024;7.5;2024-06-22T10:18:38.603Z;0.0;2024-06-22T10:18:38.603Z;0;0.0;0.0;0.0;0.0;0;01838723000127;0.0;0.0;;7;20.55;0;0;0;1719234000000;CALL;1688582413000;7.5;;
BRFSS750;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRBRFS3S0KC7;False;EUROPEAN;BRF SA ON, R$ 7.50, 19-07-2024;7.5;2024-06-22T10:18:38.958Z;0.0;2024-06-22T10:18:38.958Z;0;0.0;0.0;0.0;0.0;0;01838723000127;0.0;0.0;;7;20.55;0;0;0;1719234000000;PUT;1688582413000;7.5;;
BRFSG800;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRBRFS3G0JZ4;False;AMERICAN;BRF SA ON, R$ 8.00, 19-07-2024;8.0;2024-06-22T10:18:38.592Z;0.0;2024-06-22T10:18:38.592Z;0;0.0;0.0;0.0;0.0;0;01838723000127;0.0;0.0;;7;20.55;0;0;0;1719234000000;CALL;1688582413000;8.0;;
BRFSS800;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRBRFS3S0KQ7;False;EUROPEAN;BRF SA ON, R$ 8.00, 19-07-2024;8.0;2024-06-22T10:18:38.964Z;0.01;2024-06-22T10:18:38.964Z;0;0.0;0.0;0.0;0.0;0;01838723000127;0.01;0.0;;7;20.55;0;0;30000;1719244080000;PUT;1718896388000;8.0;;
BRFSG840;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRBRFS3G0K74;False;AMERICAN;BRF SA ON, R$ 8.40, 19-07-2024;8.4;2024-06-22T10:18:38.591Z;0.0;2024-06-22T10:18:38.591Z;0;0.0;0.0;0.0;0.0;0;01838723000127;0.0;0.0;;7;20.55;0;0;0;1719234000000;CALL;1688582413000;8.4;;
BRFSS840;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRBRFS3S0K53;False;EUROPEAN;BRF SA ON, R$ 8.40, 19-07-2024;8.4;2024-06-22T10:18:38.967Z;0.0;2024-06-22T10:18:38.967Z;0;0.0;0.0;0.0;0.0;0;01838723000127;0.0;0.0;;7;20.55;0;0;0;1719234000000;PUT;1688582413000;8.4;;
BRFSG860;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRBRFS3G0K17;False;AMERICAN;BRF SA ON, R$ 8.60, 19-07-2024;8.6;2024-06-22T10:18:38.591Z;0.0;2024-06-22T10:18:38.591Z;0;0.0;0.0;0.0;0.0;0;01838723000127;0.0;0.0;;7;20.55;0;0;0;1719234000000;CALL;1688582413000;8.6;;
BRFSS860;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRBRFS3S0K38;False;EUROPEAN;BRF SA ON, R$ 8.60, 19-07-2024;8.6;2024-06-22T10:18:38.967Z;0.0;2024-06-22T10:18:38.967Z;0;0.0;0.0;0.0;0.0;0;01838723000127;0.0;0.0;;7;20.55;0;0;0;1719234000000;PUT;1688582413000;8.6;;
BRFSG880;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRBRFS3G0K41;False;AMERICAN;BRF SA ON, R$ 8.80, 19-07-2024;8.8;2024-06-22T10:18:38.597Z;0.0;2024-06-22T10:18:38.597Z;0;0.0;0.0;0.0;0.0;0;01838723000127;0.0;0.0;;7;20.55;0;0;0;1719234000000;CALL;1688582413000;8.8;;
BRFSS880;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRBRFS3S0K20;False;EUROPEAN;BRF SA ON, R$ 8.80, 19-07-2024;8.8;2024-06-22T10:18:38.967Z;0.0;2024-06-22T10:18:38.967Z;0;0.0;0.0;0.0;0.0;0;01838723000127;0.0;0.0;;7;20.55;0;0;0;1719234000000;PUT;1688582413000;8.8;;
BRFSG920;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRBRFS3G0K82;False;AMERICAN;BRF SA ON, R$ 9.20, 19-07-2024;9.2;2024-06-22T10:18:38.609Z;11.3;2024-06-22T10:18:38.609Z;0;0.0;0.0;0.0;0.0;0;01838723000127;0.0;0.0;;7;20.55;0;0;0;1719234000000;CALL;1719216326000;9.2;;
BRFSS920;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRBRFS3S0KW5;False;EUROPEAN;BRF SA ON, R$ 9.20, 19-07-2024;9.2;2024-06-22T10:18:38.962Z;0.0;2024-06-22T10:18:38.962Z;0;0.0;0.0;0.0;0.0;0;01838723000127;0.0;0.0;;7;20.55;0;0;0;1719234000000;PUT;1688582413000;9.2;;
BRFSG940;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRBRFS3G0KR9;False;AMERICAN;BRF SA ON, R$ 9.40, 19-07-2024;9.4;2024-06-22T10:18:38.608Z;0.0;2024-06-22T10:18:38.608Z;0;0.0;0.0;0.0;0.0;0;01838723000127;0.0;0.0;;7;20.55;0;0;0;1719234000000;CALL;1688582413000;9.4;;
BRFSS940;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRBRFS3S0KM6;False;EUROPEAN;BRF SA ON, R$ 9.40, 19-07-2024;9.4;2024-06-22T10:18:38.962Z;0.0;2024-06-22T10:18:38.961Z;0;0.0;0.0;0.0;0.0;0;01838723000127;0.0;0.0;;7;20.55;0;0;0;1719234000000;PUT;1688582413000;9.4;;
BRFSG960;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRBRFS3G0KM0;False;AMERICAN;BRF SA ON, R$ 9.60, 19-07-2024;9.6;2024-06-22T10:18:38.608Z;10.93;2024-06-22T10:18:38.608Z;0;0.0;0.0;0.0;0.0;0;01838723000127;0.0;0.0;;7;20.55;0;0;0;1719234000000;CALL;1719216327000;9.6;;
BRFSS960;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRBRFS3S0K87;False;EUROPEAN;BRF SA ON, R$ 9.60, 19-07-2024;9.6;2024-06-22T10:18:38.964Z;0.0;2024-06-22T10:18:38.964Z;0;0.0;0.0;0.0;0.0;0;01838723000127;0.0;0.0;;7;20.55;0;0;0;1719234000000;PUT;1688582413000;9.6;;
BRFSG10;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRBRFS3G0KT5;False;AMERICAN;BRF SA ON, R$ 10.00, 19-07-2024;10.0;2024-06-22T10:18:38.968Z;0.0;2024-06-22T10:18:38.968Z;0;0.0;0.0;0.0;0.0;0;01838723000127;0.0;0.0;;7;20.55;0;0;0;1719234000000;CALL;1688582413000;10.0;;
BRFSS10;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRBRFS3S0KU9;False;EUROPEAN;BRF SA ON, R$ 10.00, 19-07-2024;10.0;2024-06-22T10:18:38.405Z;0.0;2024-06-22T10:18:38.405Z;0;0.0;0.0;0.0;0.0;0;01838723000127;0.0;0.0;;7;20.55;0;0;0;1719234000000;PUT;1688582413000;10.0;;
BRFSG105;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRBRFS3G0K58;False;AMERICAN;BRF SA ON, R$ 10.50, 19-07-2024;10.5;2024-06-22T10:18:38.463Z;0.0;2024-06-22T10:18:38.463Z;0;0.0;0.0;0.0;0.0;0;01838723000127;0.0;0.0;;7;20.55;0;0;0;1719234000000;CALL;1688582413000;10.5;;
BRFSS105;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRBRFS3S0K79;False;EUROPEAN;BRF SA ON, R$ 10.50, 19-07-2024;10.5;2024-06-22T10:18:38.989Z;0.04;2024-06-22T10:18:38.989Z;0;0.0;0.0;0.0;0.0;0;01838723000127;0.0;0.0;;7;20.55;0;0;0;1719234000000;PUT;1715094088000;10.5;;
BRFSG110;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRBRFS3G0KH0;False;AMERICAN;BRF SA ON, R$ 11.00, 19-07-2024;11.0;2024-06-22T10:18:38.463Z;9.19;2024-06-22T10:18:38.463Z;0;0.0;0.0;0.0;0.0;0;01838723000127;0.0;0.0;;7;20.55;0;0;0;1719234000000;CALL;1718813757000;11.0;;
BRFSS110;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRBRFS3S0KL8;False;EUROPEAN;BRF SA ON, R$ 11.00, 19-07-2024;11.0;2024-06-22T10:18:38.989Z;0.1;2024-06-22T10:18:38.989Z;0;0.0;0.0;0.0;0.0;0;01838723000127;0.0;0.0;;7;20.55;0;0;0;1719234000000;PUT;1710258513000;11.0;;
BRFSG115;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRBRFS3G0L08;False;AMERICAN;BRF SA ON, R$ 11.50, 19-07-2024;11.5;2024-06-22T10:18:38.463Z;0.0;2024-06-22T10:18:38.463Z;0;0.0;0.0;0.0;0.0;0;;0.0;0.0;;7;20.55;0;0;0;1719234000000;CALL;1688582413000;11.5;;
BRFSS115;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRBRFS3S0L03;False;EUROPEAN;BRF SA ON, R$ 11.50, 19-07-2024;11.5;2024-06-22T10:18:38.989Z;0.01;2024-06-22T10:18:38.989Z;0;0.0;0.0;0.0;0.0;0;;0.0;0.0;;7;20.55;0;0;0;1719234000000;PUT;1716824838000;11.5;;
BRFSG120;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRBRFS3G0KA5;False;AMERICAN;BRF SA ON, R$ 12.00, 19-07-2024;12.0;2024-06-22T10:18:38.462Z;8.5;2024-06-22T10:18:38.462Z;0;0.0;0.0;0.0;0.0;0;01838723000127;0.0;0.0;;7;20.55;0;0;0;1719234000000;CALL;1719216326000;12.0;;
BRFSS120;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRBRFS3S0JY3;False;EUROPEAN;BRF SA ON, R$ 12.00, 19-07-2024;12.0;2024-06-22T10:18:38.988Z;0.03;2024-06-22T10:18:38.988Z;0;0.0;0.0;0.0;0.0;0;01838723000127;0.0;0.0;;7;20.55;0;0;0;1719234000000;PUT;1715611358000;12.0;;
BRFSG125;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRBRFS3G0KL2;False;AMERICAN;BRF SA ON, R$ 12.50, 19-07-2024;12.5;2024-06-22T10:18:38.462Z;6.85;2024-06-22T10:18:38.462Z;0;0.0;0.0;0.0;0.0;0;01838723000127;0.0;0.0;;7;20.55;0;0;0;1719234000000;CALL;1716562117000;12.5;;
BRFSS125;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRBRFS3S0K46;False;EUROPEAN;BRF SA ON, R$ 12.50, 19-07-2024;12.5;2024-06-22T10:18:38.988Z;0.03;2024-06-22T10:18:38.988Z;0;0.0;0.0;0.0;0.0;0;01838723000127;0.0;0.0;;7;20.55;0;0;0;1719234000000;PUT;1715698349000;12.5;;
BRFSG130;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRBRFS3G0KU3;False;AMERICAN;BRF SA ON, R$ 13.00, 19-07-2024;13.0;2024-06-22T10:18:38.462Z;5.46;2024-06-22T10:18:38.462Z;0;0.0;0.0;0.0;0.0;0;01838723000127;0.0;0.0;;7;20.55;0;0;0;1719234000000;CALL;1718640061000;13.0;;
BRFSS130;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRBRFS3S0KO2;False;EUROPEAN;BRF SA ON, R$ 13.00, 19-07-2024;13.0;2024-06-22T10:18:38.988Z;0.01;2024-06-22T10:18:38.988Z;0;0.0;0.0;0.0;0.0;0;01838723000127;0.0;0.0;;7;20.55;0;0;0;1719234000000;PUT;1717594270000;13.0;;
BRFSG135;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRBRFS3G0KZ2;False;AMERICAN;BRF SA ON, R$ 13.50, 19-07-2024;13.5;2024-06-22T10:18:38.462Z;5.42;2024-06-22T10:18:38.462Z;0;0.0;0.0;0.0;0.0;0;;0.0;0.0;;7;20.55;0;0;0;1719234000000;CALL;1718726390000;13.5;;
BRFSS135;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRBRFS3S0L11;False;EUROPEAN;BRF SA ON, R$ 13.50, 19-07-2024;13.5;2024-06-22T10:18:38.988Z;0.02;2024-06-22T10:18:38.988Z;0;0.0;0.0;0.0;0.0;0;;0.0;0.0;;7;20.55;0;0;0;1719234000000;PUT;1717509658000;13.5;;
BRFSG14;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRBRFS3G0K09;False;AMERICAN;BRF SA ON, R$ 14.00, 19-07-2024;14.0;2024-06-22T10:18:38.968Z;6.59;2024-06-22T10:18:38.968Z;0;0.0;0.0;0.0;0.0;0;01838723000127;0.0;0.0;;7;20.55;0;0;0;1719234000000;CALL;1719216326000;14.0;;
