symbol;block_date;category;contract_size;days_to_maturity;due_date;exchange_id;isin;market_maker;maturity_type;name;strike;updated_at;close;created_at;financial_volume;high;low;open;variation;volume;cnpj;ask;bid;quotationForm;security_category;spot_price;trades;bid_volume;ask_volume;time;type;last_trade_at;strike_eod;warning;lastUpdatedDividendsAt
BRKMG100;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRBRKM5G0G66;False;AMERICAN;BRASKEM PNA, R$ 10.00, 19-07-2024;10.0;2024-06-22T10:18:38.374Z;0.0;2024-06-22T10:18:38.374Z;0;0.0;0.0;0.0;0.0;0;42150391000170;0.0;0.0;;7;17.95;0;0;0;1719234000000;CALL;1686684137000;10.0;;
BRKMS100;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRBRKM5S0G53;False;EUROPEAN;BRASKEM PNA, R$ 10.00, 19-07-2024;10.0;2024-06-22T10:18:38.925Z;0.01;2024-06-22T10:18:38.925Z;0;0.0;0.0;0.0;0.0;0;42150391000170;0.01;0.0;;7;17.95;0;0;1300;1719244079000;PUT;1714054337000;10.0;;
BRKMG110;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRBRKM5G0GD8;False;AMERICAN;BRASKEM PNA, R$ 11.00, 19-07-2024;11.0;2024-06-22T10:18:38.375Z;0.0;2024-06-22T10:18:38.375Z;0;0.0;0.0;0.0;0.0;0;42150391000170;0.0;0.0;;7;17.95;0;0;0;1719234000000;CALL;1686684137000;11.0;;
BRKMS110;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRBRKM5S0GL7;False;EUROPEAN;BRASKEM PNA, R$ 11.00, 19-07-2024;11.0;2024-06-22T10:18:38.925Z;0.01;2024-06-22T10:18:38.925Z;0;0.0;0.0;0.0;0.0;0;42150391000170;0.01;0.0;;7;17.95;0;0;1200;1719244080000;PUT;1717770101000;11.0;;
BRKMG120;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRBRKM5G0GE6;False;AMERICAN;BRASKEM PNA, R$ 12.00, 19-07-2024;12.0;2024-06-22T10:18:38.375Z;0.0;2024-06-22T10:18:38.375Z;0;0.0;0.0;0.0;0.0;0;42150391000170;0.0;0.0;;7;17.95;0;0;0;1719234000000;CALL;1688582413000;12.0;;
BRKMS120;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRBRKM5S0GC6;False;EUROPEAN;BRASKEM PNA, R$ 12.00, 19-07-2024;12.0;2024-06-22T10:18:38.925Z;0.0;2024-06-22T10:18:38.925Z;0;0.0;0.0;0.0;0.0;0;42150391000170;0.0;0.0;;7;17.95;0;0;0;1719234000000;PUT;1688582413000;12.0;;
BRKMG130;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRBRKM5G0GJ5;False;AMERICAN;BRASKEM PNA, R$ 13.00, 19-07-2024;13.0;2024-06-22T10:18:38.375Z;0.0;2024-06-22T10:18:38.375Z;0;0.0;0.0;0.0;0.0;0;42150391000170;0.0;0.0;;7;17.95;0;0;0;1719234000000;CALL;1688582413000;13.0;;
BRKMS130;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRBRKM5S0GE2;False;EUROPEAN;BRASKEM PNA, R$ 13.00, 19-07-2024;13.0;2024-06-22T10:18:38.925Z;0.03;2024-06-22T10:18:38.925Z;0;0.0;0.0;0.0;0.0;0;42150391000170;0.1;0.0;;7;17.95;0;0;100;1719244080000;PUT;1718809069000;13.0;;
BRKMG140;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRBRKM5G0GI7;False;AMERICAN;BRASKEM PNA, R$ 14.00, 19-07-2024;14.0;2024-06-22T10:18:38.375Z;0.0;2024-06-22T10:18:38.375Z;0;0.0;0.0;0.0;0.0;0;42150391000170;0.0;0.0;;7;17.95;0;0;0;1719234000000;CALL;1688582413000;14.0;;
BRKMS140;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRBRKM5S0GM5;False;EUROPEAN;BRASKEM PNA, R$ 14.00, 19-07-2024;14.0;2024-06-22T10:18:38.925Z;0.0;2024-06-22T10:18:38.925Z;0;0.0;0.0;0.0;0.0;0;42150391000170;0.25;0.01;;7;17.95;0;500;500;1719244676000;PUT;1688582413000;14.0;;
BRKMG145;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRBRKM5G0GF3;False;AMERICAN;BRASKEM PNA, R$ 14.50, 19-07-2024;14.5;2024-06-22T10:18:38.375Z;0.0;2024-06-22T10:18:38.375Z;0;0.0;0.0;0.0;0.0;0;42150391000170;0.0;0.0;;7;17.95;0;0;0;1719234000000;CALL;1688582413000;14.5;;
BRKMS145;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRBRKM5S0G61;False;EUROPEAN;BRASKEM PNA, R$ 14.50, 19-07-2024;14.5;2024-06-22T10:18:38.925Z;0.0;2024-06-22T10:18:38.925Z;0;0.0;0.0;0.0;0.0;0;42150391000170;0.1;0.01;;7;17.95;0;500;64400;1719244676000;PUT;1688582413000;14.5;;
BRKMG155;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRBRKM5G0GN7;False;AMERICAN;BRASKEM PNA, R$ 15.50, 19-07-2024;15.5;2024-06-22T10:18:38.375Z;0.0;2024-06-22T10:18:38.375Z;0;0.0;0.0;0.0;0.0;0;42150391000170;0.0;0.0;;7;17.95;0;0;0;1719234000000;CALL;1688582413000;15.5;;
BRKMS155;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRBRKM5S0GK9;False;EUROPEAN;BRASKEM PNA, R$ 15.50, 19-07-2024;15.5;2024-06-22T10:18:38.922Z;0.11;2024-06-22T10:18:38.922Z;0;0.0;0.0;0.0;0.0;0;42150391000170;0.09;0.04;;7;17.95;0;300;4400;1719244079000;PUT;1719216327000;15.5;;
BRKMG165;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRBRKM5G0G41;False;AMERICAN;BRASKEM PNA, R$ 16.50, 19-07-2024;16.5;2024-06-22T10:18:38.375Z;0.0;2024-06-22T10:18:38.375Z;0;0.0;0.0;0.0;0.0;0;42150391000170;0.0;0.0;;7;17.95;0;0;0;1719234000000;CALL;1688582413000;16.5;;
