symbol;block_date;category;contract_size;days_to_maturity;due_date;exchange_id;isin;market_maker;maturity_type;name;strike;updated_at;close;created_at;financial_volume;high;low;open;variation;volume;ask;bid;quotationForm;security_category;spot_price;trades;cnpj;lastUpdatedDividendsAt;bid_volume;ask_volume;time;type;last_trade_at;strike_eod;warning;has_options
CPLEG640;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRCPLE6G0BG8;False;AMERICAN;COPEL PNB, R$ 6.35, 19-07-2024;6.35;2024-06-22T10:18:38.618Z;0.0;2024-06-22T10:18:38.618Z;0;0.0;0.0;0.0;0.0;0;0.0;0.0;;7;9.21;0;76483817000120;2024-04-24T01:30:42.060Z;0;0;1719234000000;CALL;1688582413000;6.35;;
CPLES640;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRCPLE6S0BC3;False;EUROPEAN;COPEL PNB, R$ 6.35, 19-07-2024;6.35;2024-06-22T10:18:38.429Z;0.0;2024-06-22T10:18:38.429Z;0;0.0;0.0;0.0;0.0;0;0.0;0.0;;7;9.21;0;76483817000120;2024-04-24T01:30:42.060Z;0;0;1719234000000;PUT;1688582413000;6.35;;
CPLEG66;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRCPLE6G0C01;False;AMERICAN;COPEL PNB, R$ 6.55, 19-07-2024;6.55;2024-06-22T10:18:38.701Z;0.0;2024-06-22T10:18:38.701Z;0;0.0;0.0;0.0;0.0;0;0.0;0.0;;7;9.21;0;;;0;0;1719234000000;CALL;1688582413000;6.55;;
CPLES66;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRCPLE6S0BV3;False;EUROPEAN;COPEL PNB, R$ 6.55, 19-07-2024;6.55;2024-06-22T10:18:38.586Z;0.0;2024-06-22T10:18:38.586Z;0;0.0;0.0;0.0;0.0;0;0.0;0.0;;7;9.21;0;;;0;0;1719234000000;PUT;1688582413000;6.55;;
CPLEG680;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRCPLE6G0BI4;False;AMERICAN;COPEL PNB, R$ 6.75, 19-07-2024;6.75;2024-06-22T10:18:38.619Z;0.0;2024-06-22T10:18:38.619Z;0;0.0;0.0;0.0;0.0;0;0.0;0.0;;7;9.21;0;76483817000120;2024-04-24T01:30:42.060Z;0;0;1719234000000;CALL;1688582413000;6.75;;
CPLES680;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRCPLE6S0BG4;False;EUROPEAN;COPEL PNB, R$ 6.75, 19-07-2024;6.75;2024-06-22T10:18:38.421Z;0.0;2024-06-22T10:18:38.421Z;0;0.0;0.0;0.0;0.0;0;0.0;0.0;;7;9.21;0;76483817000120;2024-04-24T01:30:42.060Z;0;0;1719234000000;PUT;1688582413000;6.75;;
CPLEG70;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRCPLE6G0BS3;False;AMERICAN;COPEL PNB, R$ 6.95, 19-07-2024;6.95;2024-06-22T10:18:38.701Z;0.0;2024-06-22T10:18:38.701Z;0;0.0;0.0;0.0;0.0;0;0.0;0.0;;7;9.21;0;;;0;0;1719234000000;CALL;1688582413000;6.95;;
CPLES70;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRCPLE6S0C30;False;EUROPEAN;COPEL PNB, R$ 6.95, 19-07-2024;6.95;2024-06-22T10:18:38.589Z;0.0;2024-06-22T10:18:38.589Z;0;0.0;0.0;0.0;0.0;0;0.0;0.0;;7;9.21;0;;;0;0;1719234000000;PUT;1688582413000;6.95;;
CPLEG720;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRCPLE6G0B69;False;AMERICAN;COPEL PNB, R$ 7.15, 19-07-2024;7.15;2024-06-22T10:18:38.800Z;2.16;2024-06-22T10:18:38.800Z;0;0.0;0.0;0.0;0.0;0;0.0;0.0;;7;9.21;0;76483817000120;2024-04-24T01:30:42.060Z;0;0;1719234000000;CALL;1718028317000;7.15;;
CPLES720;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRCPLE6S0BN0;False;EUROPEAN;COPEL PNB, R$ 7.15, 19-07-2024;7.15;2024-06-22T10:18:38.423Z;0.0;2024-06-22T10:18:38.423Z;0;0.0;0.0;0.0;0.0;0;0.0;0.0;;7;9.21;0;76483817000120;2024-04-24T01:30:42.060Z;0;0;1719234000000;PUT;1688582413000;7.15;;
CPLEG74;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRCPLE6G0BR5;False;AMERICAN;COPEL PNB, R$ 7.35, 19-07-2024;7.35;2024-06-22T10:18:38.701Z;1.89;2024-06-22T10:18:38.701Z;0;0.0;0.0;0.0;0.0;0;0.0;0.0;;7;9.21;0;;;0;0;1719234000000;CALL;1718205462000;7.35;;
CPLES74;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRCPLE6S0BZ4;False;EUROPEAN;COPEL PNB, R$ 7.35, 19-07-2024;7.35;2024-06-22T10:18:38.589Z;0.0;2024-06-22T10:18:38.589Z;0;0.0;0.0;0.0;0.0;0;0.0;0.0;;7;9.21;0;;;0;0;1719234000000;PUT;1688582413000;7.35;;
CPLEG760;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRCPLE6G0B93;False;AMERICAN;COPEL PNB, R$ 7.55, 19-07-2024;7.55;2024-06-22T10:18:38.799Z;2.19;2024-06-22T10:18:38.799Z;0;0.0;0.0;0.0;0.0;0;2.18;1.0;;7;9.21;0;76483817000120;2024-04-24T01:30:42.060Z;100;100;1719244081000;CALL;1715882336000;7.55;;
CPLES760;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRCPLE6S0BP5;False;EUROPEAN;COPEL PNB, R$ 7.55, 19-07-2024;7.55;2024-06-22T10:18:38.422Z;0.01;2024-06-22T10:18:38.422Z;0;0.0;0.0;0.0;0.0;0;0.01;0.0;;7;9.21;0;76483817000120;2024-04-24T01:30:42.060Z;0;1200;1719244081000;PUT;1718901351000;7.55;;
CPLEG78;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRCPLE6G0C19;False;AMERICAN;COPEL PNB, R$ 7.75, 19-07-2024;7.75;2024-06-22T10:18:38.699Z;1.46;2024-06-22T10:18:38.699Z;0;0.0;0.0;0.0;0.0;0;0.0;0.0;;7;9.21;0;;;0;0;1719234000000;CALL;1719216329000;7.75;;
CPLES78;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRCPLE6S0BY7;False;EUROPEAN;COPEL PNB, R$ 7.75, 19-07-2024;7.75;2024-06-22T10:18:38.589Z;0.0;2024-06-22T10:18:38.589Z;0;0.0;0.0;0.0;0.0;0;0.07;0.0;;7;9.21;0;;;0;500;1719244082000;PUT;1688582413000;7.75;;
CPLEG800;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRCPLE6G0BP9;False;AMERICAN;COPEL PNB, R$ 7.95, 19-07-2024;7.95;2024-06-22T10:18:38.794Z;1.24;2024-06-22T10:18:38.794Z;0;0.0;0.0;0.0;0.0;0;0.0;0.0;;7;9.21;0;76483817000120;2024-04-24T01:30:42.060Z;0;0;1719234000000;CALL;1719216327000;7.95;;
CPLES800;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRCPLE6S0BD1;False;EUROPEAN;COPEL PNB, R$ 7.95, 19-07-2024;7.95;2024-06-22T10:18:38.418Z;0.01;2024-06-22T10:18:38.418Z;0;0.0;0.0;0.0;0.0;0;0.0;0.0;;7;9.21;0;76483817000120;2024-04-24T01:30:42.060Z;0;0;1719234000000;PUT;1718204882000;7.95;;
CPLEG82;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRCPLE6G0BW5;False;AMERICAN;COPEL PNB, R$ 8.15, 19-07-2024;8.15;2024-06-22T10:18:38.699Z;0.98;2024-06-22T10:18:38.699Z;0;0.0;0.0;0.0;0.0;0;0.0;0.0;;7;9.21;0;;;0;0;1719234000000;CALL;1718822573000;8.15;;
