symbol;name;open;high;low;close;volume;financial_volume;trades;bid;ask;category;due_date;maturity_type;strike;contract_size;exchange_id;created_at;updated_at;variation;spot_price;isin;security_category;market_maker;block_date;days_to_maturity;quotationForm;bid_volume;ask_volume;time;type;last_trade_at;strike_eod;cnpj;lastUpdatedDividendsAt;warning
CSNAG791;SID NACIONALON, R$ 7.19, 19-07-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-07-19;AMERICAN;7.19;100;BOVESPA;2024-06-22T10:18:38.973Z;2024-06-22T10:18:38.973Z;0.0;12.65;BRCSNA3G0PC8;7;False;2024-07-18;19;;0;0;1719234000000;CALL;1686684137000;7.19;;;
CSNAS791;SID NACIONALON, R$ 7.19, 19-07-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;PUT;2024-07-19;EUROPEAN;7.19;100;BOVESPA;2024-06-22T10:18:38.570Z;2024-06-22T10:18:38.570Z;0.0;12.65;BRCSNA3S0P49;7;False;2024-07-18;19;;0;0;1719234000000;PUT;1713365138000;7.19;;;
CSNAG811;SID NACIONALON, R$ 7.39, 19-07-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-07-19;AMERICAN;7.39;100;BOVESPA;2024-06-22T10:18:38.970Z;2024-06-22T10:18:38.970Z;0.0;12.65;BRCSNA3G0PG9;7;False;2024-07-18;19;;0;0;1719234000000;CALL;1686684137000;7.39;;;
CSNAS811;SID NACIONALON, R$ 7.39, 19-07-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;PUT;2024-07-19;EUROPEAN;7.39;100;BOVESPA;2024-06-22T10:18:38.563Z;2024-06-22T10:18:38.563Z;0.0;12.65;BRCSNA3S0ON4;7;False;2024-07-18;19;;0;0;1719234000000;PUT;1713365138000;7.39;;;
CSNAG831;SID NACIONALON, R$ 7.59, 19-07-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-07-19;AMERICAN;7.59;100;BOVESPA;2024-06-22T10:18:38.971Z;2024-06-22T10:18:38.971Z;0.0;12.65;BRCSNA3G0OU3;7;False;2024-07-18;19;;0;0;1719234000000;CALL;1686684137000;7.59;;;
CSNAS831;SID NACIONALON, R$ 7.59, 19-07-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;PUT;2024-07-19;EUROPEAN;7.59;100;BOVESPA;2024-06-22T10:18:38.463Z;2024-06-22T10:18:38.463Z;0.0;12.65;BRCSNA3S0OI4;7;False;2024-07-18;19;;0;0;1719234000000;PUT;1713365138000;7.59;;;
CSNAG851;SID NACIONALON, R$ 7.79, 19-07-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-07-19;AMERICAN;7.79;100;BOVESPA;2024-06-22T10:18:38.970Z;2024-06-22T10:18:38.970Z;0.0;12.65;BRCSNA3G0ON8;7;False;2024-07-18;19;;0;0;1719234000000;CALL;1686684137000;7.79;;;
CSNAS851;SID NACIONALON, R$ 7.79, 19-07-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.02;PUT;2024-07-19;EUROPEAN;7.79;100;BOVESPA;2024-06-22T10:18:38.463Z;2024-06-22T10:18:38.463Z;0.0;12.65;BRCSNA3S0OD5;7;False;2024-07-18;19;;0;8400;1719244082000;PUT;1713365138000;7.79;;;
CSNAG871;SID NACIONALON, R$ 7.99, 19-07-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-07-19;AMERICAN;7.99;100;BOVESPA;2024-06-22T10:18:38.969Z;2024-06-22T10:18:38.969Z;0.0;12.65;BRCSNA3G0P77;7;False;2024-07-18;19;;0;0;1719234000000;CALL;1686684137000;7.99;;;
CSNAS871;SID NACIONALON, R$ 7.99, 19-07-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.02;PUT;2024-07-19;EUROPEAN;7.99;100;BOVESPA;2024-06-22T10:18:38.464Z;2024-06-22T10:18:38.464Z;0.0;12.65;BRCSNA3S0OZ8;7;False;2024-07-18;19;;0;8400;1719244083000;PUT;1713365138000;7.99;;;
