symbol;name;open;high;low;close;volume;financial_volume;trades;bid;ask;category;due_date;maturity_type;strike;contract_size;exchange_id;created_at;updated_at;variation;spot_price;isin;security_category;market_maker;block_date;days_to_maturity;quotationForm;bid_volume;ask_volume;time;type;last_trade_at;strike_eod;cnpj;warning
EGIEG358;ENGIE BRASILON, R$ 34.66, 19-07-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-07-19;AMERICAN;34.66;100;BOVESPA;2024-06-22T10:18:38.511Z;2024-06-22T10:18:38.511Z;0.0;44.12;BREGIE3G05U2;7;False;2024-07-18;19;;0;0;1719234000000;CALL;1713382097000;34.66;;
EGIES358;ENGIE BRASILON, R$ 34.66, 19-07-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;PUT;2024-07-19;EUROPEAN;34.66;100;BOVESPA;2024-06-22T10:18:38.335Z;2024-06-22T10:18:38.335Z;0.0;44.12;BREGIE3S05I2;7;False;2024-07-18;19;;0;0;1719234000000;PUT;1701954762000;34.66;;
EGIEG363;ENGIE BRASILON, R$ 35.16, 19-07-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-07-19;AMERICAN;35.16;100;BOVESPA;2024-06-22T10:18:38.511Z;2024-06-22T10:18:38.511Z;0.0;44.12;BREGIE3G05K3;7;False;2024-07-18;19;;0;0;1719234000000;CALL;1713382097000;35.16;;
EGIES363;ENGIE BRASILON, R$ 35.16, 19-07-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;PUT;2024-07-19;EUROPEAN;35.16;100;BOVESPA;2024-06-22T10:18:38.335Z;2024-06-22T10:18:38.335Z;0.0;44.12;BREGIE3S05M4;7;False;2024-07-18;19;;0;0;1719234000000;PUT;1701954762000;35.16;;
EGIEG368;ENGIE BRASILON, R$ 35.66, 19-07-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-07-19;AMERICAN;35.66;100;BOVESPA;2024-06-22T10:18:38.511Z;2024-06-22T10:18:38.511Z;0.0;44.12;BREGIE3G05X6;7;False;2024-07-18;19;;0;0;1719234000000;CALL;1713382097000;35.66;;
EGIES368;ENGIE BRASILON, R$ 35.66, 19-07-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;PUT;2024-07-19;EUROPEAN;35.66;100;BOVESPA;2024-06-22T10:18:38.335Z;2024-06-22T10:18:38.335Z;0.0;44.12;BREGIE3S05S1;7;False;2024-07-18;19;;0;0;1719234000000;PUT;1701954762000;35.66;;
EGIEG373;ENGIE BRASILON, R$ 36.16, 19-07-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-07-19;AMERICAN;36.16;100;BOVESPA;2024-06-22T10:18:38.511Z;2024-06-22T10:18:38.511Z;0.0;44.12;BREGIE3G05V0;7;False;2024-07-18;19;;0;0;1719234000000;CALL;1713382097000;36.16;;
EGIES373;ENGIE BRASILON, R$ 36.16, 19-07-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;PUT;2024-07-19;EUROPEAN;36.16;100;BOVESPA;2024-06-22T10:18:38.335Z;2024-06-22T10:18:38.335Z;0.0;44.12;BREGIE3S05N2;7;False;2024-07-18;19;;0;0;1719234000000;PUT;1701954762000;36.16;;
EGIEG378;ENGIE BRASILON, R$ 36.66, 19-07-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-07-19;AMERICAN;36.66;100;BOVESPA;2024-06-22T10:18:38.511Z;2024-06-22T10:18:38.511Z;0.0;44.12;BREGIE3G05R8;7;False;2024-07-18;19;;0;0;1719234000000;CALL;1713382097000;36.66;;
EGIES378;ENGIE BRASILON, R$ 36.66, 19-07-2024;0.0;0.0;0.0;0.02;0;0;0;0.0;0.0;PUT;2024-07-19;EUROPEAN;36.66;100;BOVESPA;2024-06-22T10:18:38.335Z;2024-06-22T10:18:38.335Z;0.0;44.12;BREGIE3S05L6;7;False;2024-07-18;19;;0;0;1719234000000;PUT;1718030808000;36.66;;
