symbol;name;open;high;low;close;volume;financial_volume;trades;bid;ask;category;due_date;maturity_type;strike;contract_size;exchange_id;created_at;updated_at;variation;spot_price;isin;security_category;market_maker;block_date;days_to_maturity;quotationForm;bid_volume;ask_volume;time;type;last_trade_at;strike_eod;cnpj;warning
ELETG324;ELETROBRAS PNB, R$ 30.68, 19-07-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-07-19;AMERICAN;30.68;100;BOVESPA;2024-06-22T10:18:39.003Z;2024-06-22T10:18:39.003Z;0.0;38.91;BRELET6G0DM0;7;False;2024-07-18;19;;0;0;1719234000000;CALL;1688582413000;30.68;;
ELETS324;ELETROBRAS PNB, R$ 30.68, 19-07-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;PUT;2024-07-19;EUROPEAN;30.68;100;BOVESPA;2024-06-22T10:18:38.843Z;2024-06-22T10:18:38.843Z;0.0;38.91;BRELET6S0DO2;7;False;2024-07-18;19;;0;0;1719234000000;PUT;1688582413000;30.68;;
ELETG329;ELETROBRAS PNB, R$ 31.18, 19-07-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-07-19;AMERICAN;31.18;100;BOVESPA;2024-06-22T10:18:39.003Z;2024-06-22T10:18:39.003Z;0.0;38.91;BRELET6G0DB3;7;False;2024-07-18;19;;0;0;1719234000000;CALL;1688582413000;31.18;;
ELETS329;ELETROBRAS PNB, R$ 31.18, 19-07-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;PUT;2024-07-19;EUROPEAN;31.18;100;BOVESPA;2024-06-22T10:18:38.843Z;2024-06-22T10:18:38.843Z;0.0;38.91;BRELET6S0D82;7;False;2024-07-18;19;;0;0;1719234000000;PUT;1688582413000;31.18;;
ELETG334;ELETROBRAS PNB, R$ 31.68, 19-07-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-07-19;AMERICAN;31.68;100;BOVESPA;2024-06-22T10:18:39.003Z;2024-06-22T10:18:39.003Z;0.0;38.91;BRELET6G0D53;7;False;2024-07-18;19;;0;0;1719234000000;CALL;1688582413000;31.68;;
ELETS334;ELETROBRAS PNB, R$ 31.68, 19-07-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;PUT;2024-07-19;EUROPEAN;31.68;100;BOVESPA;2024-06-22T10:18:38.843Z;2024-06-22T10:18:38.843Z;0.0;38.91;BRELET6S0DJ2;7;False;2024-07-18;19;;0;0;1719234000000;PUT;1688582413000;31.68;;
ELETG34;ELETROBRAS PNB, R$ 32.18, 19-07-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-07-19;AMERICAN;32.18;100;BOVESPA;2024-06-22T10:18:38.743Z;2024-06-22T10:18:38.743Z;0.0;38.91;BRELET6G0D79;7;False;2024-07-18;19;;0;0;1719234000000;CALL;1688582413000;32.18;;
ELETS34;ELETROBRAS PNB, R$ 32.18, 19-07-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;PUT;2024-07-19;EUROPEAN;32.18;100;BOVESPA;2024-06-22T10:18:38.634Z;2024-06-22T10:18:38.634Z;0.0;38.91;BRELET6S0CI6;7;False;2024-07-18;19;;0;0;1719234000000;PUT;1688582413000;32.18;;
ELETG344;ELETROBRAS PNB, R$ 32.68, 19-07-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-07-19;AMERICAN;32.68;100;BOVESPA;2024-06-22T10:18:39.003Z;2024-06-22T10:18:39.003Z;0.0;38.91;BRELET6G0CP5;7;False;2024-07-18;19;;0;0;1719234000000;CALL;1688582413000;32.68;;
ELETS344;ELETROBRAS PNB, R$ 32.68, 19-07-2024;0.0;0.0;0.0;0.04;0;0;0;0.0;0.0;PUT;2024-07-19;EUROPEAN;32.68;100;BOVESPA;2024-06-22T10:18:38.844Z;2024-06-22T10:18:38.844Z;0.0;38.91;BRELET6S0D74;7;False;2024-07-18;19;;0;0;1719234000000;PUT;1718805934000;32.68;;
ELETG35;ELETROBRAS PNB, R$ 33.18, 19-07-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-07-19;AMERICAN;33.18;100;BOVESPA;2024-06-22T10:18:38.743Z;2024-06-22T10:18:38.743Z;0.0;38.91;BRELET6G0CJ8;7;False;2024-07-18;19;;0;0;1719234000000;CALL;1688582413000;33.18;;
ELETS35;ELETROBRAS PNB, R$ 33.18, 19-07-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.21;PUT;2024-07-19;EUROPEAN;33.18;100;BOVESPA;2024-06-22T10:18:38.634Z;2024-06-22T10:18:38.634Z;0.0;38.91;BRELET6S0DC7;7;False;2024-07-18;19;;0;500;1719245164000;PUT;1688582413000;33.18;;
ELETG349;ELETROBRAS PNB, R$ 33.68, 19-07-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-07-19;AMERICAN;33.68;100;BOVESPA;2024-06-22T10:18:39.003Z;2024-06-22T10:18:39.003Z;0.0;38.91;BRELET6G0CS9;7;False;2024-07-18;19;;0;0;1719234000000;CALL;1688582413000;33.68;;
ELETS349;ELETROBRAS PNB, R$ 33.68, 19-07-2024;0.0;0.0;0.0;0.0;0;0;0;0.01;0.26;PUT;2024-07-19;EUROPEAN;33.68;100;BOVESPA;2024-06-22T10:18:38.844Z;2024-06-22T10:18:38.844Z;0.0;38.91;BRELET6S0CQ9;7;False;2024-07-18;19;;500;500;1719245164000;PUT;1688582413000;33.68;;
ELETG36;ELETROBRAS PNB, R$ 34.18, 19-07-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-07-19;AMERICAN;34.18;100;BOVESPA;2024-06-22T10:18:38.743Z;2024-06-22T10:18:38.743Z;0.0;38.91;BRELET6G0CT7;7;False;2024-07-18;19;;0;0;1719234000000;CALL;1688582413000;34.18;;
ELETS36;ELETROBRAS PNB, R$ 34.18, 19-07-2024;0.0;0.0;0.0;0.06;0;0;0;0.01;0.31;PUT;2024-07-19;EUROPEAN;34.18;100;BOVESPA;2024-06-22T10:18:38.634Z;2024-06-22T10:18:38.634Z;0.0;38.91;BRELET6S0D90;7;False;2024-07-18;19;;500;500;1719245164000;PUT;1717767955000;34.18;;
ELETG364;ELETROBRAS PNB, R$ 34.68, 19-07-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-07-19;AMERICAN;34.68;100;BOVESPA;2024-06-22T10:18:39.004Z;2024-06-22T10:18:39.004Z;0.0;38.91;BRELET6G0CU5;7;False;2024-07-18;19;;0;0;1719234000000;CALL;1688582413000;34.68;;
ELETS364;ELETROBRAS PNB, R$ 34.68, 19-07-2024;0.0;0.0;0.0;0.08;0;0;0;0.02;0.37;PUT;2024-07-19;EUROPEAN;34.68;100;BOVESPA;2024-06-22T10:18:38.842Z;2024-06-22T10:18:38.842Z;0.0;38.91;BRELET6S0CT3;7;False;2024-07-18;19;;500;500;1719245164000;PUT;1718816733000;34.68;;
ELETG37;ELETROBRAS PNB, R$ 35.18, 19-07-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-07-19;AMERICAN;35.18;100;BOVESPA;2024-06-22T10:18:38.743Z;2024-06-22T10:18:38.743Z;0.0;38.91;BRELET6G0CR1;7;False;2024-07-18;19;;0;0;1719234000000;CALL;1688582413000;35.18;;
ELETS37;ELETROBRAS PNB, R$ 35.18, 19-07-2024;0.0;0.0;0.0;0.0;0;0;0;0.05;0.08;PUT;2024-07-19;EUROPEAN;35.18;100;BOVESPA;2024-06-22T10:18:38.634Z;2024-06-22T10:18:38.634Z;0.0;38.91;BRELET6S0DL8;7;False;2024-07-18;19;;5800;5800;1719245292000;PUT;1688582413000;35.18;;
ELETG374;ELETROBRAS PNB, R$ 35.68, 19-07-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-07-19;AMERICAN;35.68;100;BOVESPA;2024-06-22T10:18:39.004Z;2024-06-22T10:18:39.004Z;0.0;38.91;BRELET6G0CZ4;7;False;2024-07-18;19;;0;0;1719234000000;CALL;1688582413000;35.68;;
ELETS374;ELETROBRAS PNB, R$ 35.68, 19-07-2024;0.0;0.0;0.0;0.17;0;0;0;0.07;0.11;PUT;2024-07-19;EUROPEAN;35.68;100;BOVESPA;2024-06-22T10:18:38.843Z;2024-06-22T10:18:38.843Z;0.0;38.91;BRELET6S0CL0;7;False;2024-07-18;19;;6200;6200;1719244130000;PUT;1718810937000;35.68;;
ELETG38;ELETROBRAS PNB, R$ 36.18, 19-07-2024;0.0;0.0;0.0;3.0;0;0;0;0.0;0.0;CALL;2024-07-19;AMERICAN;36.18;100;BOVESPA;2024-06-22T10:18:38.743Z;2024-06-22T10:18:38.743Z;0.0;38.91;BRELET6G0DC1;7;False;2024-07-18;19;;0;0;1719234000000;CALL;1719216330000;36.18;;
ELETS38;ELETROBRAS PNB, R$ 36.18, 19-07-2024;0.0;0.0;0.0;0.0;0;0;0;0.11;0.14;PUT;2024-07-19;EUROPEAN;36.18;100;BOVESPA;2024-06-22T10:18:38.634Z;2024-06-22T10:18:38.634Z;0.0;38.91;BRELET6S0D66;7;False;2024-07-18;19;;7000;7000;1719244903000;PUT;1688582413000;36.18;;
ELETG379;ELETROBRAS PNB, R$ 36.68, 19-07-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-07-19;AMERICAN;36.68;100;BOVESPA;2024-06-22T10:18:39.005Z;2024-06-22T10:18:39.005Z;0.0;38.91;BRELET6G0CX9;7;False;2024-07-18;19;;0;0;1719234000000;CALL;1688582413000;36.68;;
ELETS379;ELETROBRAS PNB, R$ 36.68, 19-07-2024;0.17;0.21;0.17;0.18;10500;1855;0;0.15;0.19;PUT;2024-07-19;EUROPEAN;36.68;100;BOVESPA;2024-06-22T10:18:38.843Z;2024-06-22T10:18:38.843Z;-47.059;39.29;BRELET6S0CV9;7;False;2024-07-18;19;;7900;7900;1719244860000;PUT;1719236209000;36.68;;
