symbol;name;open;high;low;close;volume;financial_volume;trades;bid;ask;category;due_date;maturity_type;strike;contract_size;exchange_id;created_at;updated_at;variation;spot_price;isin;security_category;market_maker;block_date;days_to_maturity;quotationForm;bid_volume;ask_volume;time;type;last_trade_at;strike_eod;cnpj;warning
EQTLG242;EQUATORIAL ON, R$ 23.79, 19-07-2024;0.0;0.0;0.0;0.0;0;0;0;4.48;0.0;CALL;2024-07-19;AMERICAN;23.79;100;BOVESPA;2024-06-22T10:18:38.611Z;2024-06-22T10:18:38.611Z;0.0;29.27;BREQTL3G08L1;7;False;2024-07-18;19;;100;0;1719244084000;CALL;1710960850000;23.79;;
EQTLS242;EQUATORIAL ON, R$ 23.79, 19-07-2024;0.0;0.0;0.0;0.03;0;0;0;0.0;0.05;PUT;2024-07-19;EUROPEAN;23.79;100;BOVESPA;2024-06-22T10:18:38.391Z;2024-06-22T10:18:38.391Z;0.0;29.27;BREQTL3S08T9;7;False;2024-07-18;19;;0;56400;1719245283000;PUT;1719216329000;23.79;;
EQTLG247;EQUATORIAL ON, R$ 24.29, 19-07-2024;0.0;0.0;0.0;0.0;0;0;0;3.98;0.0;CALL;2024-07-19;AMERICAN;24.29;100;BOVESPA;2024-06-22T10:18:38.611Z;2024-06-22T10:18:38.611Z;0.0;29.27;BREQTL3G08G1;7;False;2024-07-18;19;;100;0;1719244083000;CALL;1688582413000;24.29;;
EQTLS247;EQUATORIAL ON, R$ 24.29, 19-07-2024;0.03;0.03;0.03;0.03;11600;348;0;0.0;0.06;PUT;2024-07-19;EUROPEAN;24.29;100;BOVESPA;2024-06-22T10:18:38.391Z;2024-06-22T10:18:38.391Z;0.0;29.77;BREQTL3S08O0;7;False;2024-07-18;19;;0;56400;1719245283000;PUT;1719238422000;24.29;;
EQTLG252;EQUATORIAL ON, R$ 24.79, 19-07-2024;0.0;0.0;0.0;0.0;0;0;0;3.49;0.0;CALL;2024-07-19;AMERICAN;24.79;100;BOVESPA;2024-06-22T10:18:38.612Z;2024-06-22T10:18:38.612Z;0.0;29.27;BREQTL3G08E6;7;False;2024-07-18;19;;100;0;1719244083000;CALL;1688582413000;24.79;;
EQTLS252;EQUATORIAL ON, R$ 24.79, 19-07-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.06;PUT;2024-07-19;EUROPEAN;24.79;100;BOVESPA;2024-06-22T10:18:38.391Z;2024-06-22T10:18:38.391Z;0.0;29.27;BREQTL3S08F8;7;False;2024-07-18;19;;0;56400;1719245283000;PUT;1688582413000;24.79;;
EQTLG257;EQUATORIAL ON, R$ 25.29, 19-07-2024;0.0;0.0;0.0;0.0;0;0;0;2.99;0.0;CALL;2024-07-19;AMERICAN;25.29;100;BOVESPA;2024-06-22T10:18:38.612Z;2024-06-22T10:18:38.612Z;0.0;29.27;BREQTL3G0943;7;False;2024-07-18;19;;100;0;1719244083000;CALL;1688582413000;25.29;;
EQTLS257;EQUATORIAL ON, R$ 25.29, 19-07-2024;0.0;0.0;0.0;0.05;0;0;0;0.02;0.06;PUT;2024-07-19;EUROPEAN;25.29;100;BOVESPA;2024-06-22T10:18:38.391Z;2024-06-22T10:18:38.391Z;0.0;29.27;BREQTL3S08W3;7;False;2024-07-18;19;;7900;7900;1719244995000;PUT;1718912675000;25.29;;
EQTLG262;EQUATORIAL ON, R$ 25.79, 19-07-2024;0.0;0.0;0.0;3.43;0;0;0;2.51;0.0;CALL;2024-07-19;AMERICAN;25.79;100;BOVESPA;2024-06-22T10:18:38.612Z;2024-06-22T10:18:38.612Z;0.0;29.27;BREQTL3G0976;7;False;2024-07-18;19;;100;0;1719244083000;CALL;1718909884000;25.79;;
EQTLS262;EQUATORIAL ON, R$ 25.79, 19-07-2024;0.06;0.06;0.06;0.06;100;6;0;0.05;0.07;PUT;2024-07-19;EUROPEAN;25.79;100;BOVESPA;2024-06-22T10:18:38.391Z;2024-06-22T10:18:38.391Z;-33.333;29.84;BREQTL3S08Z6;7;False;2024-07-18;19;;100;8000;1719244922000;PUT;1719241099000;25.79;;
