symbol;name;open;high;low;close;volume;financial_volume;trades;bid;ask;category;due_date;maturity_type;strike;contract_size;exchange_id;created_at;updated_at;variation;spot_price;isin;security_category;market_maker;block_date;days_to_maturity;quotationForm;bid_volume;ask_volume;time;type;last_trade_at;strike_eod;cnpj;lastUpdatedDividendsAt;warning
GGBRF120W4;GERDAU PN, R$ 11.72, 28-06-2024;0.0;0.0;0.0;0.0;0;0.0;0;0.0;0.0;CALL;2024-06-28;AMERICAN;11.72;100;BOVESPA;2024-06-22T10:18:38.702Z;2024-06-22T10:18:38.702Z;0.0;17.74;BRGGBR4F0PE9;7;False;2024-06-27;4;;0;0;1719234000000;CALL;-62167294412000.0;11.72;;;
GGBRR120W4;GERDAU PN, R$ 11.72, 28-06-2024;0.0;0.0;0.0;0.0;0;0.0;0;0.0;0.0;PUT;2024-06-28;EUROPEAN;11.72;100;BOVESPA;2024-06-22T10:18:38.788Z;2024-06-22T10:18:38.788Z;0.0;17.74;BRGGBR4R0PG0;7;False;2024-06-27;4;;0;0;1719234000000;PUT;-62167294412000.0;11.72;;;
GGBRF130W4;GERDAU PN, R$ 12.72, 28-06-2024;0.0;0.0;0.0;0.0;0;0.0;0;0.0;0.0;CALL;2024-06-28;AMERICAN;12.72;100;BOVESPA;2024-06-22T10:18:38.813Z;2024-06-22T10:18:38.813Z;0.0;17.74;BRGGBR4F0PO8;7;False;2024-06-27;4;;0;0;1719234000000;CALL;-62167294412000.0;12.72;;;
GGBRR130W4;GERDAU PN, R$ 12.72, 28-06-2024;0.0;0.0;0.0;0.0;0;0.0;0;0.0;0.0;PUT;2024-06-28;EUROPEAN;12.72;100;BOVESPA;2024-06-22T10:18:38.908Z;2024-06-22T10:18:38.908Z;0.0;17.74;BRGGBR4R0P69;7;False;2024-06-27;4;;0;0;1719234000000;PUT;-62167294412000.0;12.72;;;
GGBRF135W4;GERDAU PN, R$ 13.22, 28-06-2024;0.0;0.0;0.0;0.0;0;0.0;0;0.0;0.0;CALL;2024-06-28;AMERICAN;13.22;100;BOVESPA;2024-06-22T10:18:38.838Z;2024-06-22T10:18:38.838Z;0.0;17.74;BRGGBR4F0PP5;7;False;2024-06-27;4;;0;0;1719234000000;CALL;-62167294412000.0;13.22;;;
GGBRR135W4;GERDAU PN, R$ 13.22, 28-06-2024;0.0;0.0;0.0;0.0;0;0.0;0;0.0;0.0;PUT;2024-06-28;EUROPEAN;13.22;100;BOVESPA;2024-06-22T10:18:38.935Z;2024-06-22T10:18:38.935Z;0.0;17.74;BRGGBR4R0PQ9;7;False;2024-06-27;4;;0;0;1719234000000;PUT;-62167294412000.0;13.22;;;
GGBRF140W4;GERDAU PN, R$ 13.72, 28-06-2024;0.0;0.0;0.0;0.0;0;0.0;0;0.0;0.0;CALL;2024-06-28;AMERICAN;13.72;100;BOVESPA;2024-06-22T10:18:38.955Z;2024-06-22T10:18:38.955Z;0.0;17.74;BRGGBR4F0PG4;7;False;2024-06-27;4;;0;0;1719234000000;CALL;-62167294412000.0;13.72;;;
GGBRR140W4;GERDAU PN, R$ 13.72, 28-06-2024;0.0;0.0;0.0;0.0;0;0.0;0;0.0;0.0;PUT;2024-06-28;EUROPEAN;13.72;100;BOVESPA;2024-06-22T10:18:38.978Z;2024-06-22T10:18:38.978Z;0.0;17.74;BRGGBR4R0PA3;7;False;2024-06-27;4;;0;0;1719234000000;PUT;-62167294412000.0;13.72;;;
GGBRF145W4;GERDAU PN, R$ 14.22, 28-06-2024;0.0;0.0;0.0;0.0;0;0.0;0;0.0;0.0;CALL;2024-06-28;AMERICAN;14.22;100;BOVESPA;2024-06-22T10:18:38.999Z;2024-06-22T10:18:38.999Z;0.0;17.74;BRGGBR4F0PR1;7;False;2024-06-27;4;;0;0;1719234000000;CALL;-62167294412000.0;14.22;;;
GGBRR145W4;GERDAU PN, R$ 14.22, 28-06-2024;0.0;0.0;0.0;0.0;0;0.0;0;0.0;0.0;PUT;2024-06-28;EUROPEAN;14.22;100;BOVESPA;2024-06-22T10:18:38.379Z;2024-06-22T10:18:38.379Z;0.0;17.74;BRGGBR4R0PF2;7;False;2024-06-27;4;;0;0;1719234000000;PUT;-62167294412000.0;14.22;;;
GGBRF150W4;GERDAU PN, R$ 14.72, 28-06-2024;0.0;0.0;0.0;0.0;0;0.0;0;0.0;0.0;CALL;2024-06-28;AMERICAN;14.72;100;BOVESPA;2024-06-22T10:18:38.439Z;2024-06-22T10:18:38.439Z;0.0;17.74;BRGGBR4F0P31;7;False;2024-06-27;4;;0;0;1719234000000;CALL;-62167294412000.0;14.72;;;
GGBRR150W4;GERDAU PN, R$ 14.72, 28-06-2024;0.0;0.0;0.0;0.0;0;0.0;0;0.0;0.0;PUT;2024-06-28;EUROPEAN;14.72;100;BOVESPA;2024-06-22T10:18:38.421Z;2024-06-22T10:18:38.421Z;0.0;17.74;BRGGBR4R0P85;7;False;2024-06-27;4;;0;0;1719234000000;PUT;-62167294412000.0;14.72;;;
GGBRF155W4;GERDAU PN, R$ 15.22, 28-06-2024;0.0;0.0;0.0;0.0;0;0.0;0;0.0;0.0;CALL;2024-06-28;AMERICAN;15.22;100;BOVESPA;2024-06-22T10:18:38.423Z;2024-06-22T10:18:38.423Z;0.0;17.74;BRGGBR4F0P56;7;False;2024-06-27;4;;0;0;1719234000000;CALL;-62167294412000.0;15.22;;;
GGBRR155W4;GERDAU PN, R$ 15.22, 28-06-2024;0.0;0.0;0.0;0.02;0;0.0;0;0.0;0.0;PUT;2024-06-28;EUROPEAN;15.22;100;BOVESPA;2024-06-22T10:18:38.576Z;2024-06-22T10:18:38.576Z;0.0;17.74;BRGGBR4R0P51;7;False;2024-06-27;4;;0;0;1719234000000;PUT;1718303617000.0;15.22;;;
GGBRF160W4;GERDAU PN, R$ 15.72, 28-06-2024;0.0;0.0;0.0;0.0;0;0.0;0;0.0;0.0;CALL;2024-06-28;AMERICAN;15.72;100;BOVESPA;2024-06-22T10:18:38.578Z;2024-06-22T10:18:38.578Z;0.0;17.74;BRGGBR4F0PQ3;7;False;2024-06-27;4;;0;0;1719234000000;CALL;-62167294412000.0;15.72;;;
GGBRR160W4;GERDAU PN, R$ 15.72, 28-06-2024;0.0;0.0;0.0;0.0;0;0.0;0;0.0;0.0;PUT;2024-06-28;EUROPEAN;15.72;100;BOVESPA;2024-06-22T10:18:38.623Z;2024-06-22T10:18:38.623Z;0.0;17.74;BRGGBR4R0PH8;7;False;2024-06-27;4;;0;0;1719234000000;PUT;-62167294412000.0;15.72;;;
GGBRF165W4;GERDAU PN, R$ 16.22, 28-06-2024;0.0;0.0;0.0;0.0;0;0.0;0;0.0;0.0;CALL;2024-06-28;AMERICAN;16.22;100;BOVESPA;2024-06-22T10:18:38.659Z;2024-06-22T10:18:38.659Z;0.0;17.74;BRGGBR4F0PK6;7;False;2024-06-27;4;;0;0;1719234000000;CALL;-62167294412000.0;16.22;;;
