symbol;name;open;high;low;close;volume;financial_volume;trades;bid;ask;category;due_date;maturity_type;strike;contract_size;exchange_id;created_at;updated_at;variation;spot_price;isin;security_category;market_maker;block_date;days_to_maturity;cnpj;quotationForm;bid_volume;ask_volume;time;type;last_trade_at;strike_eod;warning
GOLLJ120;GOL PN, R$ 12.00, 18-10-2024;0;0;0;0;0;0;0;0;0;CALL;2024-10-18;AMERICAN;12;100;BOVESPA;2024-06-22T10:18:38.966Z;2024-06-22T10:18:38.966Z;0;1.02;BRGOLL4J0748;7;False;2024-10-17;84;06164253000187;;0;0;1719244125000;CALL;1718893452000;12;UPGRADE REQUIRED!!!
GOLLV120;GOL PN, R$ 12.00, 18-10-2024;0;0;0;0;0;0;0;0;0;PUT;2024-10-18;EUROPEAN;12;100;BOVESPA;2024-06-22T10:18:38.491Z;2024-06-22T10:18:38.491Z;0;1.02;BRGOLL4V0759;7;False;2024-10-17;84;06164253000187;;0;0;1719244125000;PUT;1714142954000;12;UPGRADE REQUIRED!!!
GOLLJ140;GOL PN, R$ 14.00, 18-10-2024;0;0;0;0;0;0;0;0;0;CALL;2024-10-18;AMERICAN;0;100;BOVESPA;2024-01-31T09:31:57.626Z;2024-01-31T09:31:57.626Z;0;2.87;BRGOLL4J0771;7;False;2024-10-17;84;06164253000187;;0;0;1719216323000;CALL;1672763204000;14;UPGRADE REQUIRED!!!
GOLLV140;GOL PN, R$ 14.00, 18-10-2024;0;0;0;0;0;0;0;0;0;PUT;2024-10-18;EUROPEAN;0;100;BOVESPA;2024-01-31T09:31:57.219Z;2024-01-31T09:31:57.219Z;0;2.87;BRGOLL4V0775;7;False;2024-10-17;84;06164253000187;;0;0;1719216323000;PUT;1669303611000;14;UPGRADE REQUIRED!!!
GOLLJ160;GOL PN, R$ 16.00, 18-10-2024;0;0;0;0;0;0;0;0;0;CALL;2024-10-18;AMERICAN;16;100;BOVESPA;2024-06-22T10:18:38.966Z;2024-06-22T10:18:38.966Z;0;1.02;BRGOLL4J0763;7;False;2024-10-17;84;06164253000187;;0;0;1719244125000;CALL;1718816378000;16;UPGRADE REQUIRED!!!
GOLLV160;GOL PN, R$ 16.00, 18-10-2024;0;0;0;0;0;0;0;0;0;PUT;2024-10-18;EUROPEAN;16;100;BOVESPA;2024-06-22T10:18:38.492Z;2024-06-22T10:18:38.492Z;0;1.02;BRGOLL4V0742;7;False;2024-10-17;84;06164253000187;;0;0;1719234000000;PUT;1686684137000;16;UPGRADE REQUIRED!!!
GOLLJ180;GOL PN, R$ 18.00, 18-10-2024;0;0;0;0;0;0;0;0;0;CALL;2024-10-18;AMERICAN;18;100;BOVESPA;2024-06-22T10:18:38.966Z;2024-06-22T10:18:38.966Z;0;1.02;BRGOLL4J0755;7;False;2024-10-17;84;06164253000187;;0;0;1719244125000;CALL;1686684137000;18;UPGRADE REQUIRED!!!
GOLLV180;GOL PN, R$ 18.00, 18-10-2024;0;0;0;0;0;0;0;0;0;PUT;2024-10-18;EUROPEAN;18;100;BOVESPA;2024-06-22T10:18:38.493Z;2024-06-22T10:18:38.493Z;0;1.02;BRGOLL4V0767;7;False;2024-10-17;84;06164253000187;;0;0;1719234000000;PUT;1686684137000;18;UPGRADE REQUIRED!!!
GOLLA12;GOL PN, R$ 12.00, 17-01-2025;0;0;0;0;0;0;0;0;0;CALL;2025-01-17;AMERICAN;12;100;BOVESPA;2024-06-22T10:18:39.007Z;2024-06-22T10:18:39.007Z;0;1.02;BRGOLL4A07X7;7;False;2025-01-16;144;06164253000187;;0;0;1719244126000;CALL;1716572111000;12;UPGRADE REQUIRED!!!
GOLLM12;GOL PN, R$ 12.00, 17-01-2025;0;0;0;0;0;0;0;0;0;PUT;2025-01-17;EUROPEAN;12;100;BOVESPA;2024-06-22T10:18:38.957Z;2024-06-22T10:18:38.957Z;0;1.02;BRGOLL4M07Y0;7;False;2025-01-16;144;06164253000187;;0;0;1719244126000;PUT;1686684137000;12;UPGRADE REQUIRED!!!
GOLLA14;GOL PN, R$ 14.00, 17-01-2025;0;0;0;0;0;0;0;0;0;CALL;2025-01-17;AMERICAN;14;100;BOVESPA;2024-06-22T10:18:39.007Z;2024-06-22T10:18:39.007Z;0;1.02;BRGOLL4A07Y5;7;False;2025-01-16;144;06164253000187;;0;0;1719244126000;CALL;1696341602000;14;UPGRADE REQUIRED!!!
GOLLM14;GOL PN, R$ 14.00, 17-01-2025;0;0;0;0;0;0;0;0;0;PUT;2025-01-17;EUROPEAN;14;100;BOVESPA;2024-06-22T10:18:38.957Z;2024-06-22T10:18:38.957Z;0;1.02;BRGOLL4M07W4;7;False;2025-01-16;144;06164253000187;;0;0;1719244126000;PUT;1686684137000;14;UPGRADE REQUIRED!!!
GOLLA16;GOL PN, R$ 16.00, 17-01-2025;0;0;0;0;0;0;0;0;0;CALL;2025-01-17;AMERICAN;16;100;BOVESPA;2024-06-22T10:18:39.007Z;2024-06-22T10:18:39.007Z;0;1.02;BRGOLL4A07W9;7;False;2025-01-16;144;06164253000187;;0;0;1719244126000;CALL;1712172805000;16;UPGRADE REQUIRED!!!
GOLLM16;GOL PN, R$ 16.00, 17-01-2025;0;0;0;0;0;0;0;0;0;PUT;2025-01-17;EUROPEAN;16;100;BOVESPA;2024-06-22T10:18:38.957Z;2024-06-22T10:18:38.957Z;0;1.02;BRGOLL4M07X2;7;False;2025-01-16;144;06164253000187;;0;0;1719234000000;PUT;1686684137000;16;UPGRADE REQUIRED!!!
GOLLC80;GOL PN, R$ 8.00, 21-03-2025;0;0;0;0;0;0;0;0;0;CALL;2025-03-21;AMERICAN;8;100;BOVESPA;2024-06-22T10:18:38.986Z;2024-06-22T10:18:38.986Z;0;1.02;BRGOLL4C0919;7;False;2025-03-20;189;06164253000187;;0;0;1719244126000;CALL;1718131575000;8;UPGRADE REQUIRED!!!
GOLLO80;GOL PN, R$ 8.00, 21-03-2025;0;0;0;0;0;0;0;0;0;PUT;2025-03-21;EUROPEAN;8;100;BOVESPA;2024-06-22T10:18:38.962Z;2024-06-22T10:18:38.962Z;0;1.02;BRGOLL4O0931;7;False;2025-03-20;189;06164253000187;;0;0;1719234000000;PUT;1706906691000;8;UPGRADE REQUIRED!!!
GOLLC90;GOL PN, R$ 9.00, 21-03-2025;0;0;0;0;0;0;0;0;0;CALL;2025-03-21;AMERICAN;9;100;BOVESPA;2024-06-22T10:18:38.986Z;2024-06-22T10:18:38.986Z;0;1.02;BRGOLL4C0927;7;False;2025-03-20;189;06164253000187;;0;0;1719244126000;CALL;1714071272000;9;UPGRADE REQUIRED!!!
GOLLO90;GOL PN, R$ 9.00, 21-03-2025;0;0;0;0;0;0;0;0;0;PUT;2025-03-21;EUROPEAN;9;100;BOVESPA;2024-06-22T10:18:38.962Z;2024-06-22T10:18:38.962Z;0;1.02;BRGOLL4O0923;7;False;2025-03-20;189;06164253000187;;0;0;1719234000000;PUT;1686684137000;9;UPGRADE REQUIRED!!!
