symbol;name;open;high;low;close;volume;financial_volume;trades;bid;ask;category;due_date;maturity_type;strike;contract_size;exchange_id;created_at;updated_at;variation;spot_price;isin;security_category;market_maker;block_date;days_to_maturity;quotationForm;bid_volume;ask_volume;time;type;last_trade_at;strike_eod;warning;cnpj
HAPVF180W4;HAPVIDA ON, R$ 1.80, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-06-28;AMERICAN;1.8;100;BOVESPA;2024-06-22T10:18:38.970Z;2024-06-22T10:18:38.970Z;0.0;3.67;BRHAPV3F08E5;7;False;2024-06-27;4;;0;0;1719234000000;CALL;-62167294412000;1.8;;
HAPVR180W4;HAPVIDA ON, R$ 1.80, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;PUT;2024-06-28;EUROPEAN;1.8;100;BOVESPA;2024-06-22T10:18:38.375Z;2024-06-22T10:18:38.375Z;0.0;3.67;BRHAPV3R0894;7;False;2024-06-27;4;;0;0;1719234000000;PUT;-62167294412000;1.8;;
HAPVF200W4;HAPVIDA ON, R$ 2.00, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-06-28;AMERICAN;2.0;100;BOVESPA;2024-06-22T10:18:38.412Z;2024-06-22T10:18:38.412Z;0.0;3.67;BRHAPV3F08A3;7;False;2024-06-27;4;;0;0;1719234000000;CALL;-62167294412000;2.0;;
HAPVR200W4;HAPVIDA ON, R$ 2.00, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;PUT;2024-06-28;EUROPEAN;2.0;100;BOVESPA;2024-06-22T10:18:38.460Z;2024-06-22T10:18:38.460Z;0.0;3.67;BRHAPV3R08D2;7;False;2024-06-27;4;;0;0;1719234000000;PUT;-62167294412000;2.0;;
HAPVF220W4;HAPVIDA ON, R$ 2.20, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-06-28;AMERICAN;2.2;100;BOVESPA;2024-06-22T10:18:38.772Z;2024-06-22T10:18:38.772Z;0.0;3.67;BRHAPV3F07T5;7;False;2024-06-27;4;;0;0;1719234000000;CALL;-62167294412000;2.2;;
HAPVR220W4;HAPVIDA ON, R$ 2.20, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;PUT;2024-06-28;EUROPEAN;2.2;100;BOVESPA;2024-06-22T10:18:38.805Z;2024-06-22T10:18:38.805Z;0.0;3.67;BRHAPV3R08C4;7;False;2024-06-27;4;;0;0;1719234000000;PUT;-62167294412000;2.2;;
HAPVF240W4;HAPVIDA ON, R$ 2.40, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-06-28;AMERICAN;2.4;100;BOVESPA;2024-06-22T10:18:38.390Z;2024-06-22T10:18:38.390Z;0.0;3.67;BRHAPV3F0898;7;False;2024-06-27;4;;0;0;1719234000000;CALL;-62167294412000;2.4;;
HAPVR240W4;HAPVIDA ON, R$ 2.40, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;PUT;2024-06-28;EUROPEAN;2.4;100;BOVESPA;2024-06-22T10:18:38.485Z;2024-06-22T10:18:38.485Z;0.0;3.67;BRHAPV3R07X2;7;False;2024-06-27;4;;0;0;1719234000000;PUT;-62167294412000;2.4;;
HAPVF260W4;HAPVIDA ON, R$ 2.60, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-06-28;AMERICAN;2.6;100;BOVESPA;2024-06-22T10:18:38.744Z;2024-06-22T10:18:38.744Z;0.0;3.67;BRHAPV3F08B1;7;False;2024-06-27;4;;0;0;1719234000000;CALL;-62167294412000;2.6;;
HAPVR260W4;HAPVIDA ON, R$ 2.60, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;PUT;2024-06-28;EUROPEAN;2.6;100;BOVESPA;2024-06-22T10:18:38.736Z;2024-06-22T10:18:38.736Z;0.0;3.67;BRHAPV3R08B6;7;False;2024-06-27;4;;0;0;1719234000000;PUT;-62167294412000;2.6;;
HAPVF280W4;HAPVIDA ON, R$ 2.80, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-06-28;AMERICAN;2.8;100;BOVESPA;2024-06-22T10:18:38.982Z;2024-06-22T10:18:38.982Z;0.0;3.67;BRHAPV3F08C9;7;False;2024-06-27;4;;0;0;1719234000000;CALL;-62167294412000;2.8;;
HAPVR280W4;HAPVIDA ON, R$ 2.80, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;PUT;2024-06-28;EUROPEAN;2.8;100;BOVESPA;2024-06-22T10:18:38.411Z;2024-06-22T10:18:38.411Z;0.0;3.67;BRHAPV3R08I1;7;False;2024-06-27;4;;0;0;1719234000000;PUT;-62167294412000;2.8;;
HAPVF300W4;HAPVIDA ON, R$ 3.00, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-06-28;AMERICAN;3.0;100;BOVESPA;2024-06-22T10:18:38.499Z;2024-06-22T10:18:38.499Z;0.0;3.67;BRHAPV3F07X7;7;False;2024-06-27;4;;0;0;1719234000000;CALL;-62167294412000;3.0;;
HAPVR300W4;HAPVIDA ON, R$ 3.00, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;PUT;2024-06-28;EUROPEAN;3.0;100;BOVESPA;2024-06-22T10:18:38.583Z;2024-06-22T10:18:38.583Z;0.0;3.67;BRHAPV3R07R4;7;False;2024-06-27;4;;0;0;1719234000000;PUT;-62167294412000;3.0;;
HAPVF310W4;HAPVIDA ON, R$ 3.10, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-06-28;AMERICAN;3.1;100;BOVESPA;2024-06-22T10:18:38.634Z;2024-06-22T10:18:38.634Z;0.0;3.67;BRHAPV3F07R9;7;False;2024-06-27;4;;0;0;1719234000000;CALL;-62167294412000;3.1;;
