symbol;name;open;high;low;close;volume;financial_volume;trades;bid;ask;category;due_date;maturity_type;strike;contract_size;exchange_id;created_at;updated_at;variation;spot_price;isin;security_category;market_maker;block_date;days_to_maturity;quotationForm;bid_volume;ask_volume;time;type;last_trade_at;strike_eod;cnpj;lastUpdatedDividendsAt;warning
ITSAG582;ITAUSA PN, R$ 5.72, 19-07-2024;0.0;0.0;0.0;0.0;0;0.0;0;0.0;0.0;CALL;2024-07-19;AMERICAN;5.72;100;BOVESPA;2024-06-22T10:18:38.319Z;2024-06-22T10:18:38.319Z;0.0;9.68;BRITSA4G0NU8;7;False;2024-07-18;19;;0;0;1719234000000;CALL;1688067068000;5.72;;;
ITSAS582;ITAUSA PN, R$ 5.72, 19-07-2024;0.0;0.0;0.0;0.0;0;0.0;0;0.0;0.01;PUT;2024-07-19;EUROPEAN;5.72;100;BOVESPA;2024-06-22T10:18:38.856Z;2024-06-22T10:18:38.856Z;0.0;9.68;BRITSA4S0OS6;7;False;2024-07-18;19;;0;1200;1719234000000;PUT;1688582413000;5.72;;;
ITSAG602;ITAUSA PN, R$ 5.92, 19-07-2024;0.0;0.0;0.0;0.0;0;0.0;0;0.0;0.0;CALL;2024-07-19;AMERICAN;5.92;100;BOVESPA;2024-06-22T10:18:38.327Z;2024-06-22T10:18:38.327Z;0.0;9.68;BRITSA4G0O09;7;False;2024-07-18;19;;0;0;1719234000000;CALL;1688067068000;5.92;;;
ITSAS602;ITAUSA PN, R$ 5.92, 19-07-2024;0.0;0.0;0.0;0.0;0;0.0;0;0.0;0.01;PUT;2024-07-19;EUROPEAN;5.92;100;BOVESPA;2024-06-22T10:18:38.858Z;2024-06-22T10:18:38.858Z;0.0;9.68;BRITSA4S0NW0;7;False;2024-07-18;19;;0;1200;1719234000000;PUT;1688582413000;5.92;;;
ITSAG622;ITAUSA PN, R$ 6.12, 19-07-2024;0.0;0.0;0.0;3.5;0;0.0;0;0.0;0.0;CALL;2024-07-19;AMERICAN;6.12;100;BOVESPA;2024-06-22T10:18:38.327Z;2024-06-22T10:18:38.327Z;0.0;9.68;BRITSA4G0OL5;7;False;2024-07-18;19;;0;0;1719234000000;CALL;1718046152000;6.12;;;
ITSAS622;ITAUSA PN, R$ 6.12, 19-07-2024;0.0;0.0;0.0;0.0;0;0.0;0;0.0;0.01;PUT;2024-07-19;EUROPEAN;6.12;100;BOVESPA;2024-06-22T10:18:38.858Z;2024-06-22T10:18:38.858Z;0.0;9.68;BRITSA4S0O79;7;False;2024-07-18;19;;0;1200;1719234000000;PUT;1688582413000;6.12;;;
ITSAG642;ITAUSA PN, R$ 6.32, 19-07-2024;0.0;0.0;0.0;3.45;0;0.0;0;0.0;0.0;CALL;2024-07-19;AMERICAN;6.32;100;BOVESPA;2024-06-22T10:18:38.328Z;2024-06-22T10:18:38.328Z;0.0;9.68;BRITSA4G0OQ4;7;False;2024-07-18;19;;0;0;1719234000000;CALL;1718895442000;6.32;;;
ITSAS642;ITAUSA PN, R$ 6.32, 19-07-2024;0.0;0.0;0.0;0.0;0;0.0;0;0.0;0.01;PUT;2024-07-19;EUROPEAN;6.32;100;BOVESPA;2024-06-22T10:18:38.851Z;2024-06-22T10:18:38.851Z;0.0;9.68;BRITSA4S0ON7;7;False;2024-07-18;19;;0;1200;1719234000000;PUT;1688582413000;6.32;;;
ITSAG662;ITAUSA PN, R$ 6.52, 19-07-2024;0.0;0.0;0.0;3.15;0;0.0;0;0.0;0.0;CALL;2024-07-19;AMERICAN;6.52;100;BOVESPA;2024-06-22T10:18:38.299Z;2024-06-22T10:18:38.299Z;0.0;9.68;BRITSA4G0OK7;7;False;2024-07-18;19;;0;0;1719234000000;CALL;1718811310000;6.52;;;
ITSAS662;ITAUSA PN, R$ 6.52, 19-07-2024;0.0;0.0;0.0;0.0;0;0.0;0;0.0;0.01;PUT;2024-07-19;EUROPEAN;6.52;100;BOVESPA;2024-06-22T10:18:38.852Z;2024-06-22T10:18:38.852Z;0.0;9.68;BRITSA4S0OU2;7;False;2024-07-18;19;;0;1200;1719234000000;PUT;1688582413000;6.52;;;
