symbol;name;open;high;low;close;volume;financial_volume;trades;bid;ask;category;due_date;maturity_type;strike;contract_size;exchange_id;created_at;updated_at;variation;spot_price;isin;security_category;market_maker;block_date;days_to_maturity;quotationForm;bid_volume;ask_volume;time;type;last_trade_at;strike_eod;cnpj;lastUpdatedDividendsAt;quotation_form;warning
ITUBF235W4;ITAUUNIBANCOPN, R$ 23.27, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-06-28;AMERICAN;23.27;100;BOVESPA;2024-06-22T10:18:38.416Z;2024-06-22T10:18:38.416Z;0.0;31.88;BRITUB4F1028;7;False;2024-06-27;4;;0;0;1719234000000;CALL;-62167294412000.0;23.27;;;;
ITUBR235W4;ITAUUNIBANCOPN, R$ 23.27, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;PUT;2024-06-28;EUROPEAN;23.27;100;BOVESPA;2024-06-22T10:18:38.379Z;2024-06-22T10:18:38.379Z;0.0;31.88;BRITUB4R1032;7;False;2024-06-27;4;;0;0;1719234000000;PUT;-62167294412000.0;23.27;;;;
ITUBF240W4;ITAUUNIBANCOPN, R$ 23.77, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-06-28;AMERICAN;23.77;100;BOVESPA;2024-06-22T10:18:38.983Z;2024-06-22T10:18:38.983Z;0.0;31.88;BRITUB4F1044;7;False;2024-06-27;4;;0;0;1719234000000;CALL;-62167294412000.0;23.77;;;;
ITUBR240W4;ITAUUNIBANCOPN, R$ 23.77, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;PUT;2024-06-28;EUROPEAN;23.77;100;BOVESPA;2024-06-22T10:18:38.961Z;2024-06-22T10:18:38.961Z;0.0;31.88;BRITUB4R10E9;7;False;2024-06-27;4;;0;0;1719234000000;PUT;-62167294412000.0;23.77;;;;
ITUBF245W4;ITAUUNIBANCOPN, R$ 24.27, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-06-28;AMERICAN;24.27;100;BOVESPA;2024-06-22T10:18:38.962Z;2024-06-22T10:18:38.962Z;0.0;31.88;BRITUB4F0ZY9;7;False;2024-06-27;4;;0;0;1719234000000;CALL;-62167294412000.0;24.27;;;;
ITUBR245W4;ITAUUNIBANCOPN, R$ 24.27, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;PUT;2024-06-28;EUROPEAN;24.27;100;BOVESPA;2024-06-22T10:18:38.926Z;2024-06-22T10:18:38.926Z;0.0;31.88;BRITUB4R1057;7;False;2024-06-27;4;;0;0;1719234000000;PUT;-62167294412000.0;24.27;;;;
ITUBF250W4;ITAUUNIBANCOPN, R$ 24.77, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-06-28;AMERICAN;24.77;100;BOVESPA;2024-06-22T10:18:38.850Z;2024-06-22T10:18:38.850Z;0.0;31.88;BRITUB4F0ZT9;7;False;2024-06-27;4;;0;0;1719234000000;CALL;-62167294412000.0;24.77;;;;
ITUBR250W4;ITAUUNIBANCOPN, R$ 24.77, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;PUT;2024-06-28;EUROPEAN;24.77;100;BOVESPA;2024-06-22T10:18:38.822Z;2024-06-22T10:18:38.822Z;0.0;31.88;BRITUB4R0ZP3;7;False;2024-06-27;4;;0;0;1719234000000;PUT;-62167294412000.0;24.77;;;;
ITUBF255W4;ITAUUNIBANCOPN, R$ 25.27, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-06-28;AMERICAN;25.27;100;BOVESPA;2024-06-22T10:18:38.865Z;2024-06-22T10:18:38.865Z;0.0;31.88;BRITUB4F0ZI2;7;False;2024-06-27;4;;0;0;1719234000000;CALL;-62167294412000.0;25.27;;;;
ITUBR255W4;ITAUUNIBANCOPN, R$ 25.27, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;PUT;2024-06-28;EUROPEAN;25.27;100;BOVESPA;2024-06-22T10:18:38.801Z;2024-06-22T10:18:38.801Z;0.0;31.88;BRITUB4R0ZT5;7;False;2024-06-27;4;;0;0;1719234000000;PUT;-62167294412000.0;25.27;;;;
ITUBF260W4;ITAUUNIBANCOPN, R$ 25.77, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-06-28;AMERICAN;25.77;100;BOVESPA;2024-06-22T10:18:38.732Z;2024-06-22T10:18:38.732Z;0.0;31.88;BRITUB4F0ZO0;7;False;2024-06-27;4;;0;0;1719234000000;CALL;-62167294412000.0;25.77;;;;
ITUBR260W4;ITAUUNIBANCOPN, R$ 25.77, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;PUT;2024-06-28;EUROPEAN;25.77;100;BOVESPA;2024-06-22T10:18:38.662Z;2024-06-22T10:18:38.662Z;0.0;31.88;BRITUB4R10C3;7;False;2024-06-27;4;;0;0;1719234000000;PUT;-62167294412000.0;25.77;;;;
ITUBF265W4;ITAUUNIBANCOPN, R$ 26.27, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-06-28;AMERICAN;26.27;100;BOVESPA;2024-06-22T10:18:38.666Z;2024-06-22T10:18:38.666Z;0.0;31.88;BRITUB4F1085;7;False;2024-06-27;4;;0;0;1719234000000;CALL;-62167294412000.0;26.27;;;;
ITUBR265W4;ITAUUNIBANCOPN, R$ 26.27, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;PUT;2024-06-28;EUROPEAN;26.27;100;BOVESPA;2024-06-22T10:18:38.635Z;2024-06-22T10:18:38.635Z;0.0;31.88;BRITUB4R1081;7;False;2024-06-27;4;;0;0;1719234000000;PUT;-62167294412000.0;26.27;;;;
ITUBF270W4;ITAUUNIBANCOPN, R$ 26.77, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-06-28;AMERICAN;26.77;100;BOVESPA;2024-06-22T10:18:38.516Z;2024-06-22T10:18:38.516Z;0.0;31.88;BRITUB4F0ZR3;7;False;2024-06-27;4;;0;0;1719234000000;CALL;-62167294412000.0;26.77;;;;
ITUBR270W4;ITAUUNIBANCOPN, R$ 26.77, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;PUT;2024-06-28;EUROPEAN;26.77;100;BOVESPA;2024-06-22T10:18:38.482Z;2024-06-22T10:18:38.482Z;0.0;31.88;BRITUB4R1065;7;False;2024-06-27;4;;0;0;1719234000000;PUT;-62167294412000.0;26.77;;;;
ITUBF272W4;ITAUUNIBANCOPN, R$ 27.02, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-06-28;EUROPEAN;27.02;100;BOVESPA;2024-06-22T10:18:38.559Z;2024-06-22T10:18:38.559Z;0.0;31.88;BRITUB4F11A0;7;False;2024-06-27;4;;0;0;1719234000000;CALL;-62167294412000.0;27.02;;;;
ITUBR272W4;ITAUUNIBANCOPN, R$ 27.02, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;PUT;2024-06-28;EUROPEAN;27.02;100;BOVESPA;2024-06-22T10:18:38.472Z;2024-06-22T10:18:38.472Z;0.0;31.88;BRITUB4R1172;7;False;2024-06-27;4;;0;0;1719234000000;PUT;-62167294412000.0;27.02;;;;
ITUBF275W4;ITAUUNIBANCOPN, R$ 27.27, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-06-28;AMERICAN;27.27;100;BOVESPA;2024-06-22T10:18:38.542Z;2024-06-22T10:18:38.542Z;0.0;31.88;BRITUB4F0ZX1;7;False;2024-06-27;4;;0;0;1719234000000;CALL;-62167294412000.0;27.27;;;;
ITUBR275W4;ITAUUNIBANCOPN, R$ 27.27, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;PUT;2024-06-28;EUROPEAN;27.27;100;BOVESPA;2024-06-22T10:18:38.443Z;2024-06-22T10:18:38.443Z;0.0;31.88;BRITUB4R0ZX7;7;False;2024-06-27;4;;0;0;1719234000000;PUT;-62167294412000.0;27.27;;;;
