symbol;name;open;high;low;close;volume;financial_volume;trades;bid;ask;category;due_date;maturity_type;strike;contract_size;exchange_id;created_at;updated_at;variation;spot_price;isin;security_category;market_maker;block_date;days_to_maturity;quotationForm;bid_volume;ask_volume;time;type;last_trade_at;strike_eod;cnpj;warning
JBSSG140;JBS ON, R$ 14.00, 19-07-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-07-19;EUROPEAN;14.0;100;BOVESPA;2024-06-22T10:18:38.765Z;2024-06-22T10:18:38.766Z;0.0;30.67;BRJBSS3G0EP6;7;False;2024-07-18;19;;0;0;1719234000000;CALL;1689776106000;14.0;;
JBSSS140;JBS ON, R$ 14.00, 19-07-2024;0.0;0.0;0.0;0.01;0;0;0;0.0;0.0;PUT;2024-07-19;EUROPEAN;14.0;100;BOVESPA;2024-06-22T10:18:38.587Z;2024-06-22T10:18:38.587Z;0.0;30.67;BRJBSS3S0EP2;7;False;2024-07-18;19;;0;0;1719234000000;PUT;1715359687000;14.0;;
JBSSG157;JBS ON, R$ 15.75, 19-07-2024;0.0;0.0;0.0;13.88;0;0;0;0.0;0.0;CALL;2024-07-19;AMERICAN;15.75;100;BOVESPA;2024-06-22T10:18:38.765Z;2024-06-22T10:18:38.765Z;0.0;30.67;BRJBSS3G0E36;7;False;2024-07-18;19;;0;0;1719234000000;CALL;1718908157000;15.75;;
JBSSS157;JBS ON, R$ 15.75, 19-07-2024;0.0;0.0;0.0;0.01;0;0;0;0.0;0.0;PUT;2024-07-19;EUROPEAN;15.75;100;BOVESPA;2024-06-22T10:18:38.587Z;2024-06-22T10:18:38.587Z;0.0;30.67;BRJBSS3S0E31;7;False;2024-07-18;19;;0;0;1719234000000;PUT;1713450217000;15.75;;
JBSSG165;JBS ON, R$ 16.50, 19-07-2024;0.0;0.0;0.0;13.3;0;0;0;0.0;0.0;CALL;2024-07-19;EUROPEAN;16.5;100;BOVESPA;2024-06-22T10:18:38.765Z;2024-06-22T10:18:38.765Z;0.0;30.67;BRJBSS3G0EZ5;7;False;2024-07-18;19;;0;0;1719234000000;CALL;1718890976000;16.5;;
JBSSS165;JBS ON, R$ 16.50, 19-07-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;PUT;2024-07-19;EUROPEAN;16.5;100;BOVESPA;2024-06-22T10:18:38.590Z;2024-06-22T10:18:38.590Z;0.0;30.67;BRJBSS3S0EZ1;7;False;2024-07-18;19;;0;0;1719234000000;PUT;1689794723000;16.5;;
JBSSG177;JBS ON, R$ 17.75, 19-07-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-07-19;AMERICAN;17.75;100;BOVESPA;2024-06-22T10:18:38.765Z;2024-06-22T10:18:38.765Z;0.0;30.67;BRJBSS3G0EH3;7;False;2024-07-18;19;;0;0;1719234000000;CALL;1688582413000;17.75;;
JBSSS177;JBS ON, R$ 17.75, 19-07-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;PUT;2024-07-19;EUROPEAN;17.75;100;BOVESPA;2024-06-22T10:18:38.590Z;2024-06-22T10:18:38.590Z;0.0;30.67;BRJBSS3S0EF3;7;False;2024-07-18;19;;0;0;1719234000000;PUT;1713450217000;17.75;;
JBSSG182;JBS ON, R$ 18.25, 19-07-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-07-19;AMERICAN;18.25;100;BOVESPA;2024-06-22T10:18:38.765Z;2024-06-22T10:18:38.765Z;0.0;30.67;BRJBSS3G0EL5;7;False;2024-07-18;19;;0;0;1719234000000;CALL;1688582413000;18.25;;
JBSSS182;JBS ON, R$ 18.25, 19-07-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;PUT;2024-07-19;EUROPEAN;18.25;100;BOVESPA;2024-06-22T10:18:38.590Z;2024-06-22T10:18:38.590Z;0.0;30.67;BRJBSS3S0EL1;7;False;2024-07-18;19;;0;0;1719234000000;PUT;1713450217000;18.25;;
