symbol;name;open;high;low;close;volume;financial_volume;trades;bid;ask;category;due_date;maturity_type;strike;contract_size;exchange_id;created_at;updated_at;variation;spot_price;isin;security_category;market_maker;block_date;days_to_maturity;quotationForm;bid_volume;ask_volume;time;type;last_trade_at;strike_eod;cnpj;lastUpdatedDividendsAt;warning
LRENG927;LOJAS RENNERON, R$ 9.27, 19-07-2024;0.0;0.0;0.0;3.55;0;0;0;0.0;3.44;CALL;2024-07-19;AMERICAN;9.27;100;BOVESPA;2024-06-22T10:18:38.604Z;2024-06-22T10:18:38.604Z;0.0;12.53;BRLREN3G0IN5;7;False;2024-07-18;19;;0;100;1719245205000;CALL;1718220643000;9.27;;;
LRENS927;LOJAS RENNERON, R$ 9.27, 19-07-2024;0.0;0.0;0.0;0.01;0;0;0;0.0;0.01;PUT;2024-07-19;EUROPEAN;9.27;100;BOVESPA;2024-06-22T10:18:38.391Z;2024-06-22T10:18:38.391Z;0.0;12.53;BRLREN3S0IK7;7;False;2024-07-18;19;;0;1200;1719244064000;PUT;1718220480000;9.27;;;
LRENG947;LOJAS RENNERON, R$ 9.47, 19-07-2024;0.0;0.0;0.0;3.94;0;0;0;0.0;3.25;CALL;2024-07-19;AMERICAN;9.47;100;BOVESPA;2024-06-22T10:18:38.611Z;2024-06-22T10:18:38.611Z;0.0;12.53;BRLREN3G0IG9;7;False;2024-07-18;19;;0;100;1719245205000;CALL;1716470237000;9.47;;;
LRENS947;LOJAS RENNERON, R$ 9.47, 19-07-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.02;PUT;2024-07-19;EUROPEAN;9.47;100;BOVESPA;2024-06-22T10:18:38.390Z;2024-06-22T10:18:38.390Z;0.0;12.53;BRLREN3S0J43;7;False;2024-07-18;19;;0;130800;1719244411000;PUT;1712927270000;9.47;;;
LRENG967;LOJAS RENNERON, R$ 9.67, 19-07-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;3.05;CALL;2024-07-19;AMERICAN;9.67;100;BOVESPA;2024-06-22T10:18:38.611Z;2024-06-22T10:18:38.611Z;0.0;12.53;BRLREN3G0IS4;7;False;2024-07-18;19;;0;100;1719245205000;CALL;1688582413000;9.67;;;
LRENS967;LOJAS RENNERON, R$ 9.67, 19-07-2024;0.0;0.0;0.0;0.01;0;0;0;0.0;0.02;PUT;2024-07-19;EUROPEAN;9.67;100;BOVESPA;2024-06-22T10:18:38.390Z;2024-06-22T10:18:38.390Z;0.0;12.53;BRLREN3S0IW2;7;False;2024-07-18;19;;0;130800;1719244064000;PUT;1718904753000;9.67;;;
LRENG977;LOJAS RENNERON, R$ 9.77, 19-07-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;2.95;CALL;2024-07-19;AMERICAN;9.77;100;BOVESPA;2024-06-22T10:18:38.611Z;2024-06-22T10:18:38.611Z;0.0;12.53;BRLREN3G0IX4;7;False;2024-07-18;19;;0;100;1719245205000;CALL;1688582413000;9.77;;;
LRENS977;LOJAS RENNERON, R$ 9.77, 19-07-2024;0.0;0.0;0.0;0.02;0;0;0;0.0;0.02;PUT;2024-07-19;EUROPEAN;9.77;100;BOVESPA;2024-06-22T10:18:38.389Z;2024-06-22T10:18:38.389Z;0.0;12.53;BRLREN3S0IS0;7;False;2024-07-18;19;;0;130800;1719244064000;PUT;1717422516000;9.77;;;
LRENG987;LOJAS RENNERON, R$ 9.87, 19-07-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;2.85;CALL;2024-07-19;AMERICAN;9.87;100;BOVESPA;2024-06-22T10:18:38.611Z;2024-06-22T10:18:38.611Z;0.0;12.53;BRLREN3G0J06;7;False;2024-07-18;19;;0;100;1719245205000;CALL;1688582413000;9.87;;;
LRENS987;LOJAS RENNERON, R$ 9.87, 19-07-2024;0.0;0.0;0.0;0.02;0;0;0;0.01;0.02;PUT;2024-07-19;EUROPEAN;9.87;100;BOVESPA;2024-06-22T10:18:38.390Z;2024-06-22T10:18:38.390Z;0.0;12.53;BRLREN3S0J19;7;False;2024-07-18;19;;7000;20000;1719244064000;PUT;1718813763000;9.87;;;
LRENG103;LOJAS RENNERON, R$ 10.37, 19-07-2024;2.5;2.5;2.5;2.5;200;500;0;0.0;2.37;CALL;2024-07-19;AMERICAN;10.37;100;BOVESPA;2024-06-22T10:18:38.561Z;2024-06-22T10:18:38.561Z;-5.66;12.53;BRLREN3G0IF1;7;False;2024-07-18;19;;0;100;1719245205000;CALL;1719238879000;10.37;;;
LRENS103;LOJAS RENNERON, R$ 10.37, 19-07-2024;0.02;0.02;0.02;0.02;20000;400;0;0.02;0.03;PUT;2024-07-19;EUROPEAN;10.37;100;BOVESPA;2024-06-22T10:18:38.346Z;2024-06-22T10:18:38.346Z;-33.333;12.53;BRLREN3S0J27;7;False;2024-07-18;19;;66300;15000;1719245205000;PUT;1719243039000;10.37;;;
LRENG108;LOJAS RENNERON, R$ 10.87, 19-07-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;1.89;CALL;2024-07-19;AMERICAN;10.87;100;BOVESPA;2024-06-22T10:18:38.561Z;2024-06-22T10:18:38.561Z;0.0;12.53;BRLREN3G0IQ8;7;False;2024-07-18;19;;0;100;1719245205000;CALL;1688582413000;10.87;;;
LRENS108;LOJAS RENNERON, R$ 10.87, 19-07-2024;0.04;0.04;0.04;0.04;26300;1052;0;0.04;0.05;PUT;2024-07-19;EUROPEAN;10.87;100;BOVESPA;2024-06-22T10:18:38.346Z;2024-06-22T10:18:38.346Z;-20.0;12.59;BRLREN3S0IF7;7;False;2024-07-18;19;;29600;29600;1719245176000;PUT;1719243022000;10.87;;;
LRENG113;LOJAS RENNERON, R$ 11.37, 19-07-2024;1.57;1.62;1.4;1.4;1200;1775;0;0.0;1.46;CALL;2024-07-19;AMERICAN;11.37;100;BOVESPA;2024-06-22T10:18:38.561Z;2024-06-22T10:18:38.561Z;14.754;12.53;BRLREN3G0IM7;7;False;2024-07-18;19;;0;100;1719245205000;CALL;1719243090000;11.37;;;
