symbol;name;open;high;low;close;volume;financial_volume;trades;bid;ask;category;due_date;maturity_type;strike;contract_size;exchange_id;created_at;updated_at;variation;spot_price;isin;security_category;market_maker;block_date;days_to_maturity;quotationForm;bid_volume;ask_volume;time;type;last_trade_at;strike_eod;cnpj;lastUpdatedDividendsAt;quotation_form;warning
PETRF300W4;PETROBRAS PN, R$ 30.05, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-06-28;AMERICAN;30.05;100;BOVESPA;2024-06-22T10:18:38.933Z;2024-06-22T10:18:38.933Z;0.0;36.72;BRPETR4F19Y6;7;False;2024-06-27;4;;0;0;1719234000000;CALL;-62167294412000;30.05;;;;
PETRR300W4;PETROBRAS PN, R$ 30.05, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.02;PUT;2024-06-28;EUROPEAN;30.05;100;BOVESPA;2024-06-22T10:18:38.859Z;2024-06-22T10:18:38.859Z;0.0;36.72;BRPETR4R1AB9;7;False;2024-06-27;4;;0;100;1719237817000;PUT;-62167294412000;30.05;;;;
PETRF303W4;PETROBRAS PN, R$ 30.30, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-06-28;EUROPEAN;30.3;100;BOVESPA;2024-06-22T10:18:38.923Z;2024-06-22T10:18:38.923Z;0.0;36.72;BRPETR4F19W0;7;False;2024-06-27;4;;0;0;1719234000000;CALL;-62167294412000;30.3;;;;
PETRR303W4;PETROBRAS PN, R$ 30.30, 28-06-2024;0.0;0.0;0.0;0.03;0;0;0;0.0;0.0;PUT;2024-06-28;EUROPEAN;30.3;100;BOVESPA;2024-06-22T10:18:38.805Z;2024-06-22T10:18:38.805Z;0.0;36.72;BRPETR4R1A74;7;False;2024-06-27;4;;0;0;1719234000000;PUT;1718812159000;30.3;;;;
PETRF315W4;PETROBRAS PN, R$ 30.55, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-06-28;AMERICAN;30.55;100;BOVESPA;2024-06-22T10:18:38.785Z;2024-06-22T10:18:38.785Z;0.0;36.72;BRPETR4F1890;7;False;2024-06-27;4;;0;0;1719234000000;CALL;-62167294412000;30.55;;;;
PETRR315W4;PETROBRAS PN, R$ 30.55, 28-06-2024;0.0;0.0;0.0;0.03;0;0;0;0.0;0.0;PUT;2024-06-28;EUROPEAN;30.55;100;BOVESPA;2024-06-22T10:18:38.616Z;2024-06-22T10:18:38.616Z;0.0;36.72;BRPETR4R18Q9;7;False;2024-06-27;4;;0;0;1719234000000;PUT;1718825166000;30.55;;;;
PETRF308W4;PETROBRAS PN, R$ 30.80, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-06-28;EUROPEAN;30.8;100;BOVESPA;2024-06-22T10:18:38.831Z;2024-06-22T10:18:38.831Z;0.0;36.72;BRPETR4F19V2;7;False;2024-06-27;4;;0;0;1719234000000;CALL;-62167294412000;30.8;;;;
PETRR308W4;PETROBRAS PN, R$ 30.80, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;PUT;2024-06-28;EUROPEAN;30.8;100;BOVESPA;2024-06-22T10:18:38.828Z;2024-06-22T10:18:38.828Z;0.0;36.72;BRPETR4R1A82;7;False;2024-06-27;4;;0;0;1719234000000;PUT;-62167294412000;30.8;;;;
PETRF320W4;PETROBRAS PN, R$ 31.05, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-06-28;AMERICAN;31.05;100;BOVESPA;2024-06-22T10:18:38.540Z;2024-06-22T10:18:38.540Z;0.0;36.72;BRPETR4F1841;7;False;2024-06-27;4;;0;0;1719234000000;CALL;-62167294412000;31.05;;;;
PETRR320W4;PETROBRAS PN, R$ 31.05, 28-06-2024;0.0;0.0;0.0;0.02;0;0;0;0.0;0.0;PUT;2024-06-28;EUROPEAN;31.05;100;BOVESPA;2024-06-22T10:18:38.477Z;2024-06-22T10:18:38.477Z;0.0;36.72;BRPETR4R18E5;7;False;2024-06-27;4;;0;0;1719234000000;PUT;1718890837000;31.05;;;;
