symbol;name;open;high;low;close;volume;financial_volume;trades;bid;ask;category;due_date;maturity_type;strike;contract_size;exchange_id;created_at;updated_at;variation;spot_price;isin;security_category;market_maker;block_date;days_to_maturity;quotationForm;bid_volume;ask_volume;time;type;last_trade_at;strike_eod;cnpj;lastUpdatedDividendsAt;warning;quotation_form
RENTG384;LOCALIZA ON, R$ 38.42, 19-07-2024;0.0;0.0;0.0;0.0;0;0;0;4.23;4.47;CALL;2024-07-19;EUROPEAN;38.42;100;BOVESPA;2024-06-22T10:18:38.722Z;2024-06-22T10:18:38.722Z;0.0;41.7;BRRENT3G0G84;7;False;2024-07-18;19;;1000;100;1719245296000;CALL;-62167294412000;38.42;;;;
RENTS384;LOCALIZA ON, R$ 38.42, 19-07-2024;0.0;0.0;0.0;0.35;0;0;0;0.18;0.24;PUT;2024-07-19;EUROPEAN;38.42;100;BOVESPA;2024-06-22T10:18:38.558Z;2024-06-22T10:18:38.558Z;0.0;41.7;BRRENT3S0G89;7;True;2024-07-18;19;;45700;7100;1719245244000;PUT;1719216335000;38.42;;;;
RENTG385;LOCALIZA ON, R$ 38.67, 19-07-2024;0.0;0.0;0.0;2.16;0;0;0;3.95;4.32;CALL;2024-07-19;AMERICAN;38.67;100;BOVESPA;2024-06-22T10:18:38.722Z;2024-06-22T10:18:38.722Z;0.0;41.7;BRRENT3G0G76;7;False;2024-07-18;19;;1000;100;1719245296000;CALL;1718823753000;38.67;;;;
RENTS385;LOCALIZA ON, R$ 38.67, 19-07-2024;0.25;0.25;0.24;0.25;1400;342;0;0.21;0.27;PUT;2024-07-19;EUROPEAN;38.67;100;BOVESPA;2024-06-22T10:18:38.558Z;2024-06-22T10:18:38.558Z;-28.571;41.7;BRRENT3S0G63;7;False;2024-07-18;19;;7100;7100;1719244952000;PUT;1719238772000;38.67;;;;
RENTG390;LOCALIZA ON, R$ 39.17, 19-07-2024;4.03;4.06;3.88;3.88;2000;7793;0;3.52;3.89;CALL;2024-07-19;AMERICAN;39.17;100;BOVESPA;2024-06-22T10:18:38.722Z;2024-06-22T10:18:38.722Z;16.867;41.7;BRRENT3G0G50;7;True;2024-07-18;19;;1000;100;1719245296000;CALL;1719237311000;39.17;;;;
RENTS390;LOCALIZA ON, R$ 39.17, 19-07-2024;0.32;0.32;0.24;0.24;20800;5052;0;0.28;0.34;PUT;2024-07-19;EUROPEAN;39.17;100;BOVESPA;2024-06-22T10:18:38.511Z;2024-06-22T10:18:38.511Z;-46.667;41.7;BRRENT3S0G71;7;True;2024-07-18;19;;7100;7100;1719244762000;PUT;1719236342000;39.17;;;;
RENTG394;LOCALIZA ON, R$ 39.42, 19-07-2024;0.0;0.0;0.0;1.7;0;0;0;3.35;3.63;CALL;2024-07-19;EUROPEAN;39.42;100;BOVESPA;2024-06-22T10:18:38.722Z;2024-06-22T10:18:38.722Z;0.0;41.7;BRRENT3G0G35;7;False;2024-07-18;19;;1000;100;1719245296000;CALL;1718823753000;39.42;;;;
RENTS394;LOCALIZA ON, R$ 39.42, 19-07-2024;0.32;0.37;0.3;0.3;3300;1099;0;0.32;0.38;PUT;2024-07-19;EUROPEAN;39.42;100;BOVESPA;2024-06-22T10:18:38.511Z;2024-06-22T10:18:38.511Z;-31.818;42.62;BRRENT3S0G30;7;True;2024-07-18;19;;100;7100;1719244805000;PUT;1719236198000;39.42;;;;
RENTG395;LOCALIZA ON, R$ 39.67, 19-07-2024;0.0;0.0;0.0;2.87;0;0;0;3.16;3.47;CALL;2024-07-19;AMERICAN;39.67;100;BOVESPA;2024-06-22T10:18:38.722Z;2024-06-22T10:18:38.722Z;0.0;41.7;BRRENT3G0G43;7;True;2024-07-18;19;;1000;100;1719245296000;CALL;1719216335000;39.67;;;;
RENTS395;LOCALIZA ON, R$ 39.67, 19-07-2024;0.39;0.41;0.39;0.4;1300;518;0;0.37;0.42;PUT;2024-07-19;EUROPEAN;39.67;100;BOVESPA;2024-06-22T10:18:38.511Z;2024-06-22T10:18:38.511Z;-20.0;42.2;BRRENT3S0G55;7;False;2024-07-18;19;;45700;100;1719245259000;PUT;1719238570000;39.67;;;;
