symbol;block_date;category;contract_size;days_to_maturity;due_date;exchange_id;isin;market_maker;maturity_type;name;strike;updated_at;close;created_at;financial_volume;high;low;open;variation;volume;ask;bid;quotationForm;security_category;spot_price;trades;cnpj;lastUpdatedDividendsAt;bid_volume;ask_volume;time;type;last_trade_at;strike_eod;warning
SBSPG550;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRSBSP3G0BT1;False;EUROPEAN;SABESP ON, R$ 53.78, 19-07-2024;53.78;2024-06-22T10:18:38.895Z;0.0;2024-06-22T10:18:38.895Z;0;0.0;0.0;0.0;0.0;0;0.0;0.0;;7;74.85;0;43776517000180;2024-04-27T01:30:23.769Z;0;0;1719234000000;CALL;1688582413000;53.78;
SBSPS550;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRSBSP3S0BT7;False;EUROPEAN;SABESP ON, R$ 53.78, 19-07-2024;53.78;2024-06-22T10:18:38.329Z;0.03;2024-06-22T10:18:38.329Z;300;0.03;0.03;0.03;-84.211;10000;0.46;0.02;;7;74.85;0;43776517000180;2024-04-27T01:30:23.769Z;500;500;1719245285000;PUT;1719236267000;53.78;
SBSPG627;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRSBSP3G0CV5;False;EUROPEAN;SABESP ON, R$ 62.78, 19-07-2024;62.78;2024-06-22T10:18:38.903Z;0.0;2024-06-22T10:18:38.903Z;0;0.0;0.0;0.0;0.0;0;0.0;0.0;;7;74.85;0;;;0;0;1719234000000;CALL;-62167294412000;62.78;
SBSPS627;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRSBSP3S0CV1;False;EUROPEAN;SABESP ON, R$ 62.78, 19-07-2024;62.78;2024-06-22T10:18:38.339Z;0.45;2024-06-22T10:18:38.339Z;0;0.0;0.0;0.0;0.0;0;0.0;0.22;;7;74.85;0;;;500;0;1719237987000;PUT;1719216382000;62.78;
SBSPG685;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRSBSP3G0BO2;False;AMERICAN;SABESP ON, R$ 67.28, 19-07-2024;67.28;2024-06-22T10:18:38.903Z;5.45;2024-06-22T10:18:38.903Z;0;0.0;0.0;0.0;0.0;0;0.0;5.0;;7;74.85;0;43776517000180;2024-04-27T01:30:23.769Z;700;0;1719243511000;CALL;1718805171000;67.28;
SBSPS685;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRSBSP3S0BO8;False;EUROPEAN;SABESP ON, R$ 67.28, 19-07-2024;67.28;2024-06-22T10:18:38.338Z;0.55;2024-06-22T10:18:38.338Z;4034;0.79;0.55;0.79;-40.217;6600;0.7;0.55;;7;74.85;0;43776517000180;2024-04-27T01:30:23.769Z;10900;1500;1719245116000;PUT;1719245025000;67.28;
SBSPG677;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRSBSP3G0CU7;False;EUROPEAN;SABESP ON, R$ 67.78, 19-07-2024;67.78;2024-06-22T10:18:38.903Z;0.0;2024-06-22T10:18:38.903Z;0;0.0;0.0;0.0;0.0;0;0.0;0.0;;7;74.85;0;;;0;0;1719234000000;CALL;-62167294412000;67.78;
SBSPS677;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRSBSP3S0CU3;False;EUROPEAN;SABESP ON, R$ 67.78, 19-07-2024;67.78;2024-06-22T10:18:38.337Z;0.73;2024-06-22T10:18:38.337Z;795;0.86;0.73;0.86;-27.0;1000;0.72;0.58;;7;77.01;0;;;10200;10200;1719245150000;PUT;1719241795000;67.78;
SBSPG695;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRSBSP3G0CB7;False;AMERICAN;SABESP ON, R$ 68.28, 19-07-2024;68.28;2024-06-22T10:18:38.902Z;8.0;2024-06-22T10:18:38.902Z;0;0.0;0.0;0.0;0.0;0;0.0;0.0;;7;74.85;0;;;0;0;1719234000000;CALL;1716908230000;68.28;
SBSPS695;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRSBSP3S0CK4;False;EUROPEAN;SABESP ON, R$ 68.28, 19-07-2024;68.28;2024-06-22T10:18:38.336Z;0.71;2024-06-22T10:18:38.336Z;4835;0.91;0.71;0.91;-34.862;5900;0.77;0.62;;7;77.22;0;;;8900;8900;1719245174000;PUT;1719245174000;68.28;
SBSPG700;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRSBSP3G0BU9;False;EUROPEAN;SABESP ON, R$ 68.78, 19-07-2024;68.78;2024-06-22T10:18:38.836Z;7.6;2024-06-22T10:18:38.836Z;0;0.0;0.0;0.0;0.0;0;0.0;0.0;;7;74.85;0;43776517000180;2024-04-27T01:30:23.769Z;0;0;1719234000000;CALL;1719216364000;68.78;
SBSPS700;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRSBSP3S0BU5;False;EUROPEAN;SABESP ON, R$ 68.78, 19-07-2024;68.78;2024-06-22T10:18:38.350Z;0.75;2024-06-22T10:18:38.350Z;591;0.86;0.75;0.86;-36.441;700;0.79;0.72;;7;77.07;0;43776517000180;2024-04-27T01:30:23.769Z;800;800;1719245242000;PUT;1719239532000;68.78;
