symbol;name;open;high;low;close;volume;financial_volume;trades;bid;ask;category;due_date;maturity_type;strike;contract_size;exchange_id;created_at;updated_at;variation;spot_price;isin;security_category;market_maker;block_date;days_to_maturity;quotationForm;bid_volume;ask_volume;time;type;last_trade_at;strike_eod;cnpj;lastUpdatedDividendsAt;warning
SUZBF445W4;SUZANO S.A. ON, R$ 44.50, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-06-28;AMERICAN;44.5;100;BOVESPA;2024-06-22T10:18:38.363Z;2024-06-22T10:18:38.363Z;0.0;48.85;BRSUZB3F0CX7;7;False;2024-06-27;4;;0;0;1719234000000;CALL;-62167294412000;44.5;;;
SUZBR445W4;SUZANO S.A. ON, R$ 44.50, 28-06-2024;0.0;0.0;0.0;0.21;0;0;0;0.0;0.14;PUT;2024-06-28;EUROPEAN;44.5;100;BOVESPA;2024-06-22T10:18:38.351Z;2024-06-22T10:18:38.351Z;0.0;48.85;BRSUZB3R0DJ0;7;False;2024-06-27;4;;0;24200;1719244138000;PUT;1718379827000;44.5;;;
SUZBF450W4;SUZANO S.A. ON, R$ 45.00, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-06-28;AMERICAN;45.0;100;BOVESPA;2024-06-22T10:18:38.504Z;2024-06-22T10:18:38.504Z;0.0;48.85;BRSUZB3F0DG0;7;False;2024-06-27;4;;0;0;1719234000000;CALL;-62167294412000;45.0;;;
SUZBR450W4;SUZANO S.A. ON, R$ 45.00, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.15;PUT;2024-06-28;EUROPEAN;45.0;100;BOVESPA;2024-06-22T10:18:38.592Z;2024-06-22T10:18:38.592Z;0.0;48.85;BRSUZB3R0CY1;7;False;2024-06-27;4;;0;24200;1719244429000;PUT;-62167294412000;45.0;;;
SUZBF455W4;SUZANO S.A. ON, R$ 45.50, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-06-28;AMERICAN;45.5;100;BOVESPA;2024-06-22T10:18:38.536Z;2024-06-22T10:18:38.536Z;0.0;48.85;BRSUZB3F0DE5;7;False;2024-06-27;4;;0;0;1719234000000;CALL;-62167294412000;45.5;;;
SUZBR455W4;SUZANO S.A. ON, R$ 45.50, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.17;PUT;2024-06-28;EUROPEAN;45.5;100;BOVESPA;2024-06-22T10:18:38.530Z;2024-06-22T10:18:38.530Z;0.0;48.85;BRSUZB3R0D97;7;False;2024-06-27;4;;0;24200;1719244429000;PUT;-62167294412000;45.5;;;
SUZBF460W4;SUZANO S.A. ON, R$ 46.00, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-06-28;AMERICAN;46.0;100;BOVESPA;2024-06-22T10:18:38.693Z;2024-06-22T10:18:38.693Z;0.0;48.85;BRSUZB3F0CW9;7;False;2024-06-27;4;;0;0;1719234000000;CALL;-62167294412000;46.0;;;
SUZBR460W4;SUZANO S.A. ON, R$ 46.00, 28-06-2024;0.0;0.0;0.0;0.47;0;0;0;0.0;0.2;PUT;2024-06-28;EUROPEAN;46.0;100;BOVESPA;2024-06-22T10:18:38.775Z;2024-06-22T10:18:38.775Z;0.0;48.85;BRSUZB3R0DA9;7;False;2024-06-27;4;;0;24200;1719244392000;PUT;1718379855000;46.0;;;
SUZBF465W4;SUZANO S.A. ON, R$ 46.50, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-06-28;AMERICAN;46.5;100;BOVESPA;2024-06-22T10:18:38.670Z;2024-06-22T10:18:38.670Z;0.0;48.85;BRSUZB3F0D43;7;False;2024-06-27;4;;0;0;1719234000000;CALL;-62167294412000;46.5;;;
SUZBR465W4;SUZANO S.A. ON, R$ 46.50, 28-06-2024;0.0;0.0;0.0;0.5;0;0;0;0.0;0.24;PUT;2024-06-28;EUROPEAN;46.5;100;BOVESPA;2024-06-22T10:18:38.792Z;2024-06-22T10:18:38.792Z;0.0;48.85;BRSUZB3R0DI2;7;False;2024-06-27;4;;0;24200;1719244344000;PUT;1718389433000;46.5;;;
