symbol;name;open;high;low;close;volume;financial_volume;trades;bid;ask;category;due_date;maturity_type;strike;contract_size;exchange_id;created_at;updated_at;variation;spot_price;isin;security_category;market_maker;block_date;days_to_maturity;quotationForm;bid_volume;ask_volume;time;type;last_trade_at;strike_eod;cnpj;warning
TIMSG130;TIM ON, R$ 13.01, 19-07-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-07-19;AMERICAN;12.9;100;BOVESPA;2024-06-22T10:18:38.975Z;2024-06-22T10:18:38.975Z;0.0;15.78;BRTIMS3G02A0;7;False;2024-07-18;19;;0;0;1719234000000;CALL;1688582413000;13.01;;
TIMSS130;TIM ON, R$ 13.01, 19-07-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;PUT;2024-07-19;EUROPEAN;12.9;100;BOVESPA;2024-06-22T10:18:38.486Z;2024-06-22T10:18:38.486Z;0.0;15.78;BRTIMS3S02A5;7;False;2024-07-18;19;;0;0;1719234000000;PUT;1688582413000;13.01;;
TIMSG135;TIM ON, R$ 13.51, 19-07-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-07-19;AMERICAN;13.4;100;BOVESPA;2024-06-22T10:18:38.975Z;2024-06-22T10:18:38.975Z;0.0;15.78;BRTIMS3G02C6;7;False;2024-07-18;19;;0;0;1719234000000;CALL;1688582413000;13.51;;
TIMSS135;TIM ON, R$ 13.51, 19-07-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;PUT;2024-07-19;EUROPEAN;13.4;100;BOVESPA;2024-06-22T10:18:38.486Z;2024-06-22T10:18:38.486Z;0.0;15.78;BRTIMS3S0290;7;False;2024-07-18;19;;0;0;1719234000000;PUT;1688582413000;13.51;;
TIMSG140;TIM ON, R$ 14.01, 19-07-2024;0.0;0.0;0.0;2.09;0;0;0;0.0;0.0;CALL;2024-07-19;AMERICAN;13.9;100;BOVESPA;2024-06-22T10:18:38.975Z;2024-06-22T10:18:38.975Z;0.0;15.78;BRTIMS3G01Z9;7;False;2024-07-18;19;;0;0;1719234000000;CALL;1717436922000;14.01;;
TIMSS140;TIM ON, R$ 14.01, 19-07-2024;0.0;0.0;0.0;0.04;0;0;0;0.0;0.03;PUT;2024-07-19;EUROPEAN;13.9;100;BOVESPA;2024-06-22T10:18:38.484Z;2024-06-22T10:18:38.484Z;0.0;15.78;BRTIMS3S0266;7;False;2024-07-18;19;;0;48000;1719237732000;PUT;1715183067000;14.01;;
TIMSG145;TIM ON, R$ 14.51, 19-07-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-07-19;AMERICAN;14.4;100;BOVESPA;2024-06-22T10:18:38.975Z;2024-06-22T10:18:38.975Z;0.0;15.78;BRTIMS3G0286;7;False;2024-07-18;19;;0;0;1719234000000;CALL;1688582413000;14.51;;
TIMSS145;TIM ON, R$ 14.51, 19-07-2024;0.0;0.0;0.0;0.03;0;0;0;0.01;0.03;PUT;2024-07-19;EUROPEAN;14.4;100;BOVESPA;2024-06-22T10:18:38.484Z;2024-06-22T10:18:38.484Z;0.0;15.78;BRTIMS3S01Z4;7;False;2024-07-18;19;;500;29300;1719245293000;PUT;1718892333000;14.51;;
TIMSG157;TIM ON, R$ 14.76, 19-07-2024;0.0;0.0;0.0;2.72;0;0;0;0.0;0.0;CALL;2024-07-19;EUROPEAN;14.65;100;BOVESPA;2024-06-22T10:18:38.975Z;2024-06-22T10:18:38.975Z;0.0;15.78;BRTIMS3G01R6;7;False;2024-07-18;19;;0;0;1719234000000;CALL;1715800828000;14.76;02421421000111;
TIMSS157;TIM ON, R$ 14.76, 19-07-2024;0.0;0.0;0.0;0.11;0;0;0;0.02;0.05;PUT;2024-07-19;EUROPEAN;14.65;100;BOVESPA;2024-06-22T10:18:38.484Z;2024-06-22T10:18:38.484Z;0.0;15.78;BRTIMS3S01R1;7;True;2024-07-18;19;;29300;29300;1719239545000;PUT;1718645652000;14.76;02421421000111;
TIMSG150;TIM ON, R$ 15.01, 19-07-2024;0.0;0.0;0.0;1.22;0;0;0;0.0;0.0;CALL;2024-07-19;AMERICAN;14.9;100;BOVESPA;2024-06-22T10:18:38.975Z;2024-06-22T10:18:38.975Z;0.0;15.78;BRTIMS3G0237;7;False;2024-07-18;19;;0;0;1719234000000;CALL;1718120973000;15.01;;
TIMSS150;TIM ON, R$ 15.01, 19-07-2024;0.0;0.0;0.0;0.16;0;0;0;0.05;0.07;PUT;2024-07-19;EUROPEAN;14.9;100;BOVESPA;2024-06-22T10:18:38.484Z;2024-06-22T10:18:38.484Z;0.0;15.78;BRTIMS3S0274;7;False;2024-07-18;19;;29300;29300;1719245202000;PUT;1718650524000;15.01;;
TIMSG155;TIM ON, R$ 15.51, 19-07-2024;0.0;0.0;0.0;0.61;0;0;0;0.65;0.7;CALL;2024-07-19;AMERICAN;15.4;100;BOVESPA;2024-06-22T10:18:38.975Z;2024-06-22T10:18:38.975Z;0.0;15.78;BRTIMS3G01W6;7;True;2024-07-18;19;;20000;7300;1719245292000;CALL;1718816935000;15.51;;
TIMSS155;TIM ON, R$ 15.51, 19-07-2024;0.17;0.17;0.17;0.17;300;51;0;0.15;0.19;PUT;2024-07-19;EUROPEAN;15.4;100;BOVESPA;2024-06-22T10:18:38.484Z;2024-06-22T10:18:38.484Z;-22.727;15.78;BRTIMS3S0209;7;True;2024-07-18;19;;19900;19900;1719245149000;PUT;1719243361000;15.51;;
TIMSG160;TIM ON, R$ 16.01, 19-07-2024;0.34;0.42;0.32;0.32;300;108;0;0.35;0.39;CALL;2024-07-19;AMERICAN;15.9;100;BOVESPA;2024-06-22T10:18:38.975Z;2024-06-22T10:18:38.975Z;-3.03;15.74;BRTIMS3G0260;7;True;2024-07-18;19;;20000;7900;1719245284000;CALL;1719241671000;16.01;;
TIMSS160;TIM ON, R$ 16.01, 19-07-2024;0.0;0.0;0.0;0.46;0;0;0;0.34;0.38;PUT;2024-07-19;EUROPEAN;15.9;100;BOVESPA;2024-06-22T10:18:38.485Z;2024-06-22T10:18:38.485Z;0.0;15.67;BRTIMS3S01W1;7;True;2024-07-18;19;;7300;7300;1719245202000;PUT;1719216371000;16.01;;
TIMSG165;TIM ON, R$ 16.51, 19-07-2024;0.14;0.2;0.14;0.15;30600;5130;0;0.16;0.19;CALL;2024-07-19;AMERICAN;16.4;100;BOVESPA;2024-06-22T10:18:38.975Z;2024-06-22T10:18:38.975Z;0.0;15.75;BRTIMS3G0229;7;True;2024-07-18;19;;14800;14800;1719245284000;CALL;1719243710000;16.51;;
TIMSS165;TIM ON, R$ 16.51, 19-07-2024;0.0;0.0;0.0;0.79;0;0;0;0.63;0.68;PUT;2024-07-19;EUROPEAN;16.4;100;BOVESPA;2024-06-22T10:18:38.485Z;2024-06-22T10:18:38.485Z;0.0;15.78;BRTIMS3S0217;7;True;2024-07-18;19;;7300;20000;1719245293000;PUT;1719216371000;16.51;;
TIMSG173;TIM ON, R$ 16.76, 19-07-2024;0.0;0.0;0.0;0.07;0;0;0;0.1;0.13;CALL;2024-07-19;EUROPEAN;16.65;100;BOVESPA;2024-06-22T10:18:38.974Z;2024-06-22T10:18:38.974Z;0.0;15.78;BRTIMS3G01U0;7;False;2024-07-18;19;;28000;48000;1719245190000;CALL;1718648670000;16.76;02421421000111;
TIMSS173;TIM ON, R$ 16.76, 19-07-2024;0.0;0.0;0.0;0.99;0;0;0;0.0;0.0;PUT;2024-07-19;EUROPEAN;16.65;100;BOVESPA;2024-06-22T10:18:38.485Z;2024-06-22T10:18:38.485Z;0.0;15.78;BRTIMS3S01U5;7;False;2024-07-18;19;;0;0;1719234000000;PUT;1718822164000;16.76;02421421000111;
TIMSG170;TIM ON, R$ 17.01, 19-07-2024;0.05;0.05;0.05;0.05;100;5;0;0.05;0.09;CALL;2024-07-19;AMERICAN;16.9;100;BOVESPA;2024-06-22T10:18:38.975Z;2024-06-22T10:18:38.975Z;-28.571;15.78;BRTIMS3G01Y2;7;True;2024-07-18;19;;23500;23500;1719243646000;CALL;1719242526000;17.01;;
TIMSS170;TIM ON, R$ 17.01, 19-07-2024;0.0;0.0;0.0;1.23;0;0;0;0.84;0.0;PUT;2024-07-19;EUROPEAN;16.9;100;BOVESPA;2024-06-22T10:18:38.485Z;2024-06-22T10:18:38.485Z;0.0;15.78;BRTIMS3S0225;7;False;2024-07-18;19;;1000;0;1719245284000;PUT;1719216371000;17.01;;
TIMSG175;TIM ON, R$ 17.51, 19-07-2024;0.0;0.0;0.0;0.04;0;0;0;0.02;0.05;CALL;2024-07-19;AMERICAN;17.4;100;BOVESPA;2024-06-22T10:18:38.974Z;2024-06-22T10:18:38.974Z;0.0;15.78;BRTIMS3G02D4;7;True;2024-07-18;19;;29300;29300;1719239780000;CALL;1719216371000;17.51;;
TIMSS175;TIM ON, R$ 17.51, 19-07-2024;0.0;0.0;0.0;1.71;0;0;0;0.0;0.0;PUT;2024-07-19;EUROPEAN;17.4;100;BOVESPA;2024-06-22T10:18:38.485Z;2024-06-22T10:18:38.485Z;0.0;15.78;BRTIMS3S02E7;7;False;2024-07-18;19;;0;0;1719234000000;PUT;1718904886000;17.51;;
TIMSG183;TIM ON, R$ 17.76, 19-07-2024;0.0;0.0;0.0;0.04;0;0;0;0.02;0.04;CALL;2024-07-19;EUROPEAN;17.65;100;BOVESPA;2024-06-22T10:18:38.974Z;2024-06-22T10:18:38.974Z;0.0;15.78;BRTIMS3G01T2;7;False;2024-07-18;19;;29300;29300;1719237732000;CALL;1718220222000;17.76;02421421000111;
TIMSS183;TIM ON, R$ 17.76, 19-07-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;PUT;2024-07-19;EUROPEAN;17.65;100;BOVESPA;2024-06-22T10:18:38.484Z;2024-06-22T10:18:38.484Z;0.0;15.78;BRTIMS3S01T7;7;False;2024-07-18;19;;0;0;1719234000000;PUT;1710772123000;17.76;02421421000111;
TIMSG180;TIM ON, R$ 18.01, 19-07-2024;0.0;0.0;0.0;0.02;0;0;0;0.01;0.04;CALL;2024-07-19;AMERICAN;17.9;100;BOVESPA;2024-06-22T10:18:38.974Z;2024-06-22T10:18:38.974Z;0.0;15.78;BRTIMS3G0211;7;False;2024-07-18;19;;48000;29300;1719245284000;CALL;1718386555000;18.01;;
TIMSS180;TIM ON, R$ 18.01, 19-07-2024;0.0;0.0;0.0;1.99;0;0;0;0.67;0.0;PUT;2024-07-19;EUROPEAN;17.9;100;BOVESPA;2024-06-22T10:18:38.484Z;2024-06-22T10:18:38.484Z;0.0;15.78;BRTIMS3S01Y7;7;False;2024-07-18;19;;300;0;1719238310000;PUT;1718199459000;18.01;;
TIMSG185;TIM ON, R$ 18.51, 19-07-2024;0.0;0.0;0.0;0.0;0;0;0;0.01;0.03;CALL;2024-07-19;AMERICAN;18.4;100;BOVESPA;2024-06-22T10:18:38.974Z;2024-06-22T10:18:38.974Z;0.0;15.78;BRTIMS3G02E2;7;False;2024-07-18;19;;500;48000;1719245293000;CALL;-62167294412000;18.51;;
TIMSS185;TIM ON, R$ 18.51, 19-07-2024;0.0;0.0;0.0;2.66;0;0;0;0.0;0.0;PUT;2024-07-19;EUROPEAN;18.4;100;BOVESPA;2024-06-22T10:18:38.484Z;2024-06-22T10:18:38.484Z;0.0;15.67;BRTIMS3S0241;7;False;2024-07-18;19;;0;0;1719234000000;PUT;1719216371000;18.51;;
