symbol;name;open;high;low;close;volume;financial_volume;trades;bid;ask;category;due_date;maturity_type;strike;contract_size;exchange_id;created_at;updated_at;variation;spot_price;isin;security_category;market_maker;block_date;days_to_maturity;cnpj;quotationForm;lastUpdatedDividendsAt;bid_volume;ask_volume;time;type;last_trade_at;strike_eod;warning
UGPAG150;ULTRAPAR ON, R$ 14.25, 19-07-2024;0.0;0.0;0.0;14.06;0;0;0;0.0;0.0;CALL;2024-07-19;AMERICAN;14.25;100;BOVESPA;2024-06-22T10:18:38.928Z;2024-06-22T10:18:38.928Z;0.0;21.59;BRUGPA3G0AK5;7;False;2024-07-18;19;33256439000139;;2024-06-18T01:30:32.707Z;0;0;1719234000000;CALL;1710780314000;14.25;
UGPAS150;ULTRAPAR ON, R$ 14.25, 19-07-2024;0.0;0.0;0.0;0.01;0;0;0;0.0;0.0;PUT;2024-07-19;EUROPEAN;14.25;100;BOVESPA;2024-06-22T10:18:38.617Z;2024-06-22T10:18:38.617Z;0.0;21.59;BRUGPA3S0AK1;7;False;2024-07-18;19;33256439000139;;2024-06-18T01:30:32.707Z;0;0;1719234000000;PUT;1718911120000;14.25;
UGPAG160;ULTRAPAR ON, R$ 16.00, 19-07-2024;0.0;0.0;0.0;5.75;0;0;0;0.0;0.0;CALL;2024-07-19;EUROPEAN;16.0;100;BOVESPA;2024-06-22T10:18:38.928Z;2024-06-22T10:18:38.928Z;0.0;21.59;BRUGPA3G0CU0;7;False;2024-07-18;19;;;;0;0;1719234000000;CALL;1719216334000;16.0;
UGPAS160;ULTRAPAR ON, R$ 16.00, 19-07-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;PUT;2024-07-19;EUROPEAN;16.0;100;BOVESPA;2024-06-22T10:18:38.618Z;2024-06-22T10:18:38.618Z;0.0;21.59;BRUGPA3S0CU6;7;False;2024-07-18;19;;;;0;0;1719234000000;PUT;1689708058000;16.0;
UGPAG170;ULTRAPAR ON, R$ 16.25, 19-07-2024;0.0;0.0;0.0;5.44;0;0;0;5.0;0.0;CALL;2024-07-19;AMERICAN;16.25;100;BOVESPA;2024-06-22T10:18:38.928Z;2024-06-22T10:18:38.928Z;0.0;21.59;BRUGPA3G0AL3;7;False;2024-07-18;19;33256439000139;;2024-06-18T01:30:32.707Z;1000;0;1719234000000;CALL;1718825901000;16.25;
UGPAS170;ULTRAPAR ON, R$ 16.25, 19-07-2024;0.0;0.0;0.0;1.57;0;0;0;0.0;0.02;PUT;2024-07-19;EUROPEAN;16.25;100;BOVESPA;2024-06-22T10:18:38.636Z;2024-06-22T10:18:38.636Z;0.0;21.59;BRUGPA3S0AL9;7;False;2024-07-18;19;33256439000139;;2024-06-18T01:30:32.707Z;0;20000;1719234922000;PUT;1686684137000;16.25;
UGPAG185;ULTRAPAR ON, R$ 18.50, 19-07-2024;0.0;0.0;0.0;3.35;0;0;0;0.0;0.0;CALL;2024-07-19;EUROPEAN;18.5;100;BOVESPA;2024-06-22T10:18:38.927Z;2024-06-22T10:18:38.927Z;0.0;21.59;BRUGPA3G0CT2;7;False;2024-07-18;19;;;;0;0;1719234000000;CALL;1719216333000;18.5;
UGPAS185;ULTRAPAR ON, R$ 18.50, 19-07-2024;0.02;0.02;0.02;0.02;26000;520;0;0.01;0.04;PUT;2024-07-19;EUROPEAN;18.5;100;BOVESPA;2024-06-22T10:18:38.636Z;2024-06-22T10:18:38.636Z;-33.333;21.59;BRUGPA3S0CT8;7;False;2024-07-18;19;;;;500;38100;1719245240000;PUT;1719240464000;18.5;
UGPAG192;ULTRAPAR ON, R$ 19.25, 19-07-2024;0.0;0.0;0.0;2.88;0;0;0;0.0;0.0;CALL;2024-07-19;AMERICAN;19.25;100;BOVESPA;2024-06-22T10:18:38.927Z;2024-06-22T10:18:38.927Z;0.0;21.59;BRUGPA3G0CD6;7;False;2024-07-18;19;;;;0;0;1719234000000;CALL;1718304383000;19.25;
UGPAS192;ULTRAPAR ON, R$ 19.25, 19-07-2024;0.0;0.0;0.0;0.12;0;0;0;0.04;0.07;PUT;2024-07-19;EUROPEAN;19.25;100;BOVESPA;2024-06-22T10:18:38.635Z;2024-06-22T10:18:38.635Z;0.0;21.59;BRUGPA3S0C93;7;False;2024-07-18;19;;;;38100;38100;1719245267000;PUT;1718819380000;19.25;
