symbol;name;open;high;low;close;volume;financial_volume;trades;bid;ask;category;due_date;maturity_type;strike;contract_size;exchange_id;created_at;updated_at;variation;spot_price;isin;security_category;market_maker;block_date;days_to_maturity;quotationForm;bid_volume;ask_volume;time;type;last_trade_at;strike_eod;cnpj;lastUpdatedDividendsAt;quotation_form;has_options;warning
VALEF485W4;VALE ON, R$ 48.50, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-06-28;AMERICAN;48.5;100;BOVESPA;2024-06-22T10:18:38.881Z;2024-06-22T10:18:38.881Z;0.0;60.83;BRVALE3F0PI0;7;False;2024-06-27;4;;0;0;1719234000000;CALL;-62167294412000;48.5;;;;;
VALER485W4;VALE ON, R$ 48.50, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;PUT;2024-06-28;EUROPEAN;48.5;100;BOVESPA;2024-06-22T10:18:38.929Z;2024-06-22T10:18:38.929Z;0.0;60.83;BRVALE3R0PF2;7;False;2024-06-27;4;;0;0;1719234000000;PUT;-62167294412000;48.5;;;;;
VALEF490W4;VALE ON, R$ 49.00, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-06-28;AMERICAN;49.0;100;BOVESPA;2024-06-22T10:18:38.485Z;2024-06-22T10:18:38.485Z;0.0;60.83;BRVALE3F0P74;7;False;2024-06-27;4;;0;0;1719234000000;CALL;-62167294412000;49.0;;;;;
VALER490W4;VALE ON, R$ 49.00, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;PUT;2024-06-28;EUROPEAN;49.0;100;BOVESPA;2024-06-22T10:18:38.351Z;2024-06-22T10:18:38.351Z;0.0;60.83;BRVALE3R0OZ3;7;False;2024-06-27;4;;0;0;1719234000000;PUT;-62167294412000;49.0;;;;;
VALEF500W4;VALE ON, R$ 50.00, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-06-28;AMERICAN;50.0;100;BOVESPA;2024-06-22T10:18:38.484Z;2024-06-22T10:18:38.484Z;0.0;60.83;BRVALE3F0P09;7;False;2024-06-27;4;;0;0;1719234000000;CALL;-62167294412000;50.0;;;;;
VALER500W4;VALE ON, R$ 50.00, 28-06-2024;0.0;0.0;0.0;0.03;0;0;0;0.0;0.0;PUT;2024-06-28;EUROPEAN;50.0;100;BOVESPA;2024-06-22T10:18:38.351Z;2024-06-22T10:18:38.351Z;0.0;60.83;BRVALE3R0PK2;7;False;2024-06-27;4;;0;0;1719234000000;PUT;1718386497000;50.0;;;;;
VALEF510W4;VALE ON, R$ 51.00, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-06-28;AMERICAN;51.0;100;BOVESPA;2024-06-22T10:18:38.641Z;2024-06-22T10:18:38.641Z;0.0;60.83;BRVALE3F0P17;7;False;2024-06-27;4;;0;0;1719234000000;CALL;-62167294412000;51.0;;;;;
VALER510W4;VALE ON, R$ 51.00, 28-06-2024;0.0;0.0;0.0;0.03;0;0;0;0.0;0.0;PUT;2024-06-28;EUROPEAN;51.0;100;BOVESPA;2024-06-22T10:18:38.557Z;2024-06-22T10:18:38.557Z;0.0;60.83;BRVALE3R0PI6;7;False;2024-06-27;4;;0;0;1719234000000;PUT;1718652206000;51.0;;;;;
VALEF520W4;VALE ON, R$ 52.00, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-06-28;AMERICAN;52.0;100;BOVESPA;2024-06-22T10:18:38.804Z;2024-06-22T10:18:38.804Z;0.0;60.83;BRVALE3F0PJ8;7;False;2024-06-27;4;;0;0;1719234000000;CALL;-62167294412000;52.0;;;;;
VALER520W4;VALE ON, R$ 52.00, 28-06-2024;0.0;0.0;0.0;0.02;0;0;0;0.0;0.0;PUT;2024-06-28;EUROPEAN;52.0;100;BOVESPA;2024-06-22T10:18:38.845Z;2024-06-22T10:18:38.845Z;0.0;60.83;BRVALE3R0OV2;7;False;2024-06-27;4;;0;0;1719235585000;PUT;1718804590000;52.0;;;;;
VALEF530W4;VALE ON, R$ 53.00, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-06-28;AMERICAN;53.0;100;BOVESPA;2024-06-22T10:18:38.961Z;2024-06-22T10:18:38.961Z;0.0;60.83;BRVALE3F0PA7;7;False;2024-06-27;4;;0;0;1719234000000;CALL;-62167294412000;53.0;;;;;
VALER530W4;VALE ON, R$ 53.00, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;PUT;2024-06-28;EUROPEAN;53.0;100;BOVESPA;2024-06-22T10:18:38.998Z;2024-06-22T10:18:38.998Z;0.0;60.83;BRVALE3R0PL0;7;False;2024-06-27;4;;0;0;1719234000000;PUT;-62167294412000;53.0;;;;;
VALEF540W4;VALE ON, R$ 54.00, 28-06-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-06-28;AMERICAN;54.0;100;BOVESPA;2024-06-22T10:18:38.933Z;2024-06-22T10:18:38.933Z;0.0;60.83;BRVALE3F0PG4;7;False;2024-06-27;4;;0;0;1719234000000;CALL;-62167294412000;54.0;;;;;
VALER540W4;VALE ON, R$ 54.00, 28-06-2024;0.02;0.02;0.02;0.02;3000;60;0;0.0;0.2;PUT;2024-06-28;EUROPEAN;54.0;100;BOVESPA;2024-06-22T10:18:38.412Z;2024-06-22T10:18:38.412Z;100.0;60.83;BRVALE3R0P38;7;False;2024-06-27;4;;0;500;1719244879000;PUT;1719239295000;54.0;;;;;
VALEF580W4;VALE ON, R$ 58.00, 28-06-2024;0.0;0.0;0.0;3.4;0;0;0;0.0;0.0;CALL;2024-06-28;AMERICAN;58.0;100;BOVESPA;2024-06-22T10:18:38.883Z;2024-06-22T10:18:38.883Z;0.0;60.83;BRVALE3F0PE9;7;False;2024-06-27;4;;0;0;1719234000000;CALL;1718892683000;58.0;;;;;
VALER580W4;VALE ON, R$ 58.00, 28-06-2024;0.1;0.1;0.04;0.04;19700;1361;0;0.04;0.06;PUT;2024-06-28;EUROPEAN;58.0;100;BOVESPA;2024-06-22T10:18:38.925Z;2024-06-22T10:18:38.925Z;-55.556;60.85;BRVALE3R0PJ4;7;False;2024-06-27;4;;26700;2000;1719245105000;PUT;1719244412000;58.0;;;;;
VALEF590W4;VALE ON, R$ 59.00, 28-06-2024;2.07;2.07;2.04;2.04;1000;2055;0;0.0;0.0;CALL;2024-06-28;AMERICAN;59.0;100;BOVESPA;2024-06-22T10:18:38.492Z;2024-06-22T10:18:38.492Z;-24.723;60.83;BRVALE3F0OY0;7;False;2024-06-27;4;;0;0;1719244079000;CALL;1719244079000;59.0;;;;;
VALER590W4;VALE ON, R$ 59.00, 28-06-2024;0.15;0.15;0.09;0.09;22800;2401;0;0.1;0.12;PUT;2024-06-28;EUROPEAN;59.0;100;BOVESPA;2024-06-22T10:18:38.410Z;2024-06-22T10:18:38.410Z;-30.769;60.83;BRVALE3R0P04;7;False;2024-06-27;4;;800;21700;1719245133000;PUT;1719243517000;59.0;;;;;
VALEF600W4;VALE ON, R$ 60.00, 28-06-2024;1.21;1.77;0.8;1.17;4000;4434;0;0.7;1.77;CALL;2024-06-28;AMERICAN;60.0;100;BOVESPA;2024-06-22T10:18:38.492Z;2024-06-22T10:18:38.492Z;-10.687;60.83;BRVALE3F0PD1;7;False;2024-06-27;4;;2000;1000;1719245254000;CALL;1719243962000;60.0;;;;;
VALER600W4;VALE ON, R$ 60.00, 28-06-2024;0.38;0.38;0.2;0.25;64600;17860;0;0.24;0.28;PUT;2024-06-28;EUROPEAN;60.0;100;BOVESPA;2024-06-22T10:18:38.409Z;2024-06-22T10:18:38.409Z;-7.407;60.8;BRVALE3R0PH8;7;False;2024-06-27;4;;200;18700;1719245133000;PUT;1719244892000;60.0;;;;;
