symbol;name;open;high;low;close;volume;financial_volume;trades;bid;ask;category;due_date;maturity_type;strike;contract_size;exchange_id;created_at;updated_at;variation;spot_price;isin;security_category;market_maker;block_date;days_to_maturity;quotationForm;bid_volume;ask_volume;time;type;last_trade_at;strike_eod;cnpj;warning
VIVTG429;TELEF BRASILON, R$ 42.99, 19-07-2024;0.0;0.0;0.0;2.33;0;0;0;0.0;0.0;CALL;2024-07-19;AMERICAN;42.99;100;BOVESPA;2024-06-22T10:18:38.738Z;2024-06-22T10:18:38.738Z;0.0;44.49;BRVIVT3G0497;7;False;2024-07-18;19;;0;0;1719245292000;CALL;1718216409000;42.99;;
VIVTS429;TELEF BRASILON, R$ 42.99, 19-07-2024;0.4;0.4;0.21;0.22;2300;695;0;0.22;0.28;PUT;2024-07-19;EUROPEAN;42.99;100;BOVESPA;2024-06-22T10:18:38.481Z;2024-06-22T10:18:38.481Z;-45.0;44.49;BRVIVT3S0493;7;False;2024-07-18;19;;300;23300;1719244817000;PUT;1719243190000;42.99;;
VIVTG436;TELEF BRASILON, R$ 43.49, 19-07-2024;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;CALL;2024-07-19;AMERICAN;43.49;100;BOVESPA;2024-06-22T10:18:38.738Z;2024-06-22T10:18:38.738Z;0.0;44.49;BRVIVT3G03P0;7;False;2024-07-18;19;;0;0;1719245288000;CALL;1688582413000;43.49;;
VIVTS436;TELEF BRASILON, R$ 43.49, 19-07-2024;0.51;0.51;0.31;0.36;2200;845;0;0.28;0.34;PUT;2024-07-19;EUROPEAN;43.49;100;BOVESPA;2024-06-22T10:18:38.481Z;2024-06-22T10:18:38.481Z;-25.0;45.02;BRVIVT3S0451;7;True;2024-07-18;19;;10000;10000;1719245293000;PUT;1719240162000;43.49;;
VIVTG441;TELEF BRASILON, R$ 43.99, 19-07-2024;0.0;0.0;0.0;1.61;0;0;0;2.02;2.07;CALL;2024-07-19;AMERICAN;43.99;100;BOVESPA;2024-06-22T10:18:38.738Z;2024-06-22T10:18:38.738Z;0.0;44.49;BRVIVT3G03R6;7;False;2024-07-18;19;;10000;10000;1719245311000;CALL;1719216371000;43.99;;
VIVTS441;TELEF BRASILON, R$ 43.99, 19-07-2024;0.43;0.67;0.43;0.43;1800;926;0;0.41;0.45;PUT;2024-07-19;EUROPEAN;43.99;100;BOVESPA;2024-06-22T10:18:38.481Z;2024-06-22T10:18:38.481Z;-28.333;45.1;BRVIVT3S03Q3;7;True;2024-07-18;19;;100;10000;1719245193000;PUT;1719244150000;43.99;;
VIVTG446;TELEF BRASILON, R$ 44.49, 19-07-2024;0.0;0.0;0.0;1.25;0;0;0;1.66;1.71;CALL;2024-07-19;AMERICAN;44.49;100;BOVESPA;2024-06-22T10:18:38.737Z;2024-06-22T10:18:38.737Z;0.0;44.49;BRVIVT3G03Q8;7;True;2024-07-18;19;;10000;10000;1719245311000;CALL;1719216371000;44.49;;
VIVTS446;TELEF BRASILON, R$ 44.49, 19-07-2024;0.59;0.59;0.59;0.59;2100;1239;0;0.52;0.58;PUT;2024-07-19;EUROPEAN;44.49;100;BOVESPA;2024-06-22T10:18:38.481Z;2024-06-22T10:18:38.481Z;-27.16;44.49;BRVIVT3S0477;7;True;2024-07-18;19;;10000;10000;1719245310000;PUT;1719244135000;44.49;;
VIVTG451;TELEF BRASILON, R$ 44.99, 19-07-2024;1.09;1.2;1.09;1.2;400;447;0;1.32;1.38;CALL;2024-07-19;AMERICAN;44.99;100;BOVESPA;2024-06-22T10:18:38.737Z;2024-06-22T10:18:38.737Z;25.0;45.01;BRVIVT3G03X4;7;True;2024-07-18;19;;10000;10000;1719245311000;CALL;1719240226000;44.99;;
VIVTS451;TELEF BRASILON, R$ 44.99, 19-07-2024;0.85;0.85;0.85;0.85;200;170;0;0.69;0.74;PUT;2024-07-19;EUROPEAN;44.99;100;BOVESPA;2024-06-22T10:18:38.481Z;2024-06-22T10:18:38.481Z;-19.048;44.49;BRVIVT3S03Y7;7;True;2024-07-18;19;;10000;10000;1719245311000;PUT;1719240195000;44.99;;
