symbol;block_date;category;contract_size;days_to_maturity;due_date;exchange_id;isin;market_maker;maturity_type;name;strike;updated_at;close;created_at;financial_volume;high;low;open;variation;volume;ask;bid;quotationForm;security_category;spot_price;trades;cnpj;lastUpdatedDividendsAt;bid_volume;ask_volume;time;type;last_trade_at;strike_eod;warning
WEGEG265;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRWEGE3G0C53;False;EUROPEAN;WEG ON, R$ 26.15, 19-07-2024;26.15;2024-06-22T10:18:38.913Z;15.0;2024-06-22T10:18:38.913Z;0;0.0;0.0;0.0;0.0;0;0.0;0.0;;7;41.08;0;84429695000111;2024-03-26T01:30:29.355Z;0;0;1719234000000;CALL;1719216339000;26.15;
WEGES265;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRWEGE3S0C41;False;EUROPEAN;WEG ON, R$ 26.15, 19-07-2024;26.15;2024-06-22T10:18:38.733Z;1.3;2024-06-22T10:18:38.733Z;0;0.0;0.0;0.0;0.0;0;0.0;0.0;;7;41.08;0;84429695000111;2024-03-26T01:30:29.355Z;0;0;1719234000000;PUT;1708546806000;26.15;
WEGEG264;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRWEGE3G0DZ9;False;AMERICAN;WEG ON, R$ 26.40, 19-07-2024;26.4;2024-06-22T10:18:38.913Z;0.0;2024-06-22T10:18:38.913Z;0;0.0;0.0;0.0;0.0;0;0.0;0.0;;7;41.08;0;;;0;0;1719234000000;CALL;-62167294412000;26.4;
WEGES264;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRWEGE3S0DY8;False;EUROPEAN;WEG ON, R$ 26.40, 19-07-2024;26.4;2024-06-22T10:18:38.733Z;0.0;2024-06-22T10:18:38.733Z;0;0.0;0.0;0.0;0.0;0;0.0;0.0;;7;41.08;0;;;0;0;1719234000000;PUT;-62167294412000;26.4;
WEGEG289;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRWEGE3G0DP0;False;AMERICAN;WEG ON, R$ 28.90, 19-07-2024;28.9;2024-06-22T10:18:38.914Z;11.33;2024-06-22T10:18:38.914Z;0;0.0;0.0;0.0;0.0;0;0.0;0.0;;7;41.08;0;;;0;0;1719234000000;CALL;1715785489000;28.9;
WEGES289;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRWEGE3S0DQ4;False;EUROPEAN;WEG ON, R$ 28.90, 19-07-2024;28.9;2024-06-22T10:18:38.733Z;0.0;2024-06-22T10:18:38.733Z;0;0.0;0.0;0.0;0.0;0;0.0;0.0;;7;41.08;0;;;0;0;1719234000000;PUT;-62167294412000;28.9;
WEGEG294;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRWEGE3G0DX4;False;AMERICAN;WEG ON, R$ 29.40, 19-07-2024;29.4;2024-06-22T10:18:38.915Z;0.0;2024-06-22T10:18:38.915Z;0;0.0;0.0;0.0;0.0;0;0.0;0.0;;7;41.08;0;;;0;0;1719234000000;CALL;-62167294412000;29.4;
WEGES294;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRWEGE3S0DU6;False;EUROPEAN;WEG ON, R$ 29.40, 19-07-2024;29.4;2024-06-22T10:18:38.733Z;0.0;2024-06-22T10:18:38.733Z;0;0.0;0.0;0.0;0.0;0;0.0;0.0;;7;41.08;0;;;0;0;1719234000000;PUT;-62167294412000;29.4;
WEGEG299;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRWEGE3G0DY2;False;AMERICAN;WEG ON, R$ 29.90, 19-07-2024;29.9;2024-06-22T10:18:38.915Z;9.05;2024-06-22T10:18:38.915Z;0;0.0;0.0;0.0;0.0;0;0.0;0.0;;7;41.08;0;;;0;0;1719234000000;CALL;1718724033000;29.9;
WEGES299;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRWEGE3S0DV4;False;EUROPEAN;WEG ON, R$ 29.90, 19-07-2024;29.9;2024-06-22T10:18:38.733Z;0.0;2024-06-22T10:18:38.733Z;0;0.0;0.0;0.0;0.0;0;0.0;0.0;;7;41.08;0;;;0;0;1719234000000;PUT;1688582413000;29.9;
WEGEG304;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRWEGE3G0DV8;False;AMERICAN;WEG ON, R$ 30.40, 19-07-2024;30.4;2024-06-22T10:18:38.907Z;8.57;2024-06-22T10:18:38.907Z;0;0.0;0.0;0.0;0.0;0;0.0;0.0;;7;41.08;0;;;0;0;1719234000000;CALL;1718725977000;30.4;
WEGES304;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRWEGE3S0DT8;False;EUROPEAN;WEG ON, R$ 30.40, 19-07-2024;30.4;2024-06-22T10:18:38.778Z;0.0;2024-06-22T10:18:38.778Z;0;0.0;0.0;0.0;0.0;0;0.0;0.0;;7;41.08;0;;;0;0;1719234000000;PUT;-62167294412000;30.4;
WEGEG309;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRWEGE3G0DW6;False;AMERICAN;WEG ON, R$ 30.90, 19-07-2024;30.9;2024-06-22T10:18:38.909Z;9.03;2024-06-22T10:18:38.909Z;0;0.0;0.0;0.0;0.0;0;0.0;0.0;;7;41.08;0;;;0;0;1719234000000;CALL;1715969020000;30.9;
WEGES309;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRWEGE3S0DO9;False;EUROPEAN;WEG ON, R$ 30.90, 19-07-2024;30.9;2024-06-22T10:18:38.778Z;0.0;2024-06-22T10:18:38.778Z;0;0.0;0.0;0.0;0.0;0;0.0;0.0;;7;41.08;0;;;0;0;1719234000000;PUT;-62167294412000;30.9;
WEGEG312;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRWEGE3G0CM9;False;EUROPEAN;WEG ON, R$ 31.15, 19-07-2024;31.15;2024-06-22T10:18:38.909Z;0.0;2024-06-22T10:18:38.909Z;0;0.0;0.0;0.0;0.0;0;0.0;0.0;;7;41.08;0;84429695000111;2024-03-26T01:30:29.355Z;0;0;1719234000000;CALL;1688582413000;31.15;
WEGES312;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRWEGE3S0CG7;False;EUROPEAN;WEG ON, R$ 31.15, 19-07-2024;31.15;2024-06-22T10:18:38.777Z;0.0;2024-06-22T10:18:38.777Z;0;0.0;0.0;0.0;0.0;0;0.0;0.0;;7;41.08;0;84429695000111;2024-03-26T01:30:29.355Z;0;0;1719234000000;PUT;1708546806000;31.15;
WEGEG314;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRWEGE3G0D78;False;AMERICAN;WEG ON, R$ 31.40, 19-07-2024;31.4;2024-06-22T10:18:38.909Z;6.8;2024-06-22T10:18:38.909Z;0;0.0;0.0;0.0;0.0;0;0.0;0.0;;7;41.08;0;84429695000111;2024-03-26T01:30:29.355Z;0;0;1719234000000;CALL;1717780747000;31.4;
WEGES314;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRWEGE3S0CZ7;False;EUROPEAN;WEG ON, R$ 31.40, 19-07-2024;31.4;2024-06-22T10:18:38.777Z;0.02;2024-06-22T10:18:38.777Z;0;0.0;0.0;0.0;0.0;0;0.0;0.0;;7;41.08;0;84429695000111;2024-03-26T01:30:29.355Z;0;0;1719234000000;PUT;1717700462000;31.4;
WEGEG320;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRWEGE3G0C46;False;EUROPEAN;WEG ON, R$ 31.65, 19-07-2024;31.65;2024-06-22T10:18:38.909Z;0.0;2024-06-22T10:18:38.909Z;0;0.0;0.0;0.0;0.0;0;0.0;0.0;;7;41.08;0;84429695000111;2024-03-26T01:30:29.355Z;0;0;1719234000000;CALL;1688582413000;31.65;
WEGES320;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRWEGE3S0C33;False;EUROPEAN;WEG ON, R$ 31.65, 19-07-2024;31.65;2024-06-22T10:18:38.777Z;2.72;2024-06-22T10:18:38.777Z;0;0.0;0.0;0.0;0.0;0;2.72;0.0;;7;41.08;0;84429695000111;2024-03-26T01:30:29.355Z;0;100;1719244130000;PUT;1708546806000;31.65;
WEGEG319;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRWEGE3G0DM7;False;AMERICAN;WEG ON, R$ 31.90, 19-07-2024;31.9;2024-06-22T10:18:38.909Z;0.0;2024-06-22T10:18:38.909Z;0;0.0;0.0;0.0;0.0;0;0.0;0.0;;7;41.08;0;84429695000111;2024-03-26T01:30:29.355Z;0;0;1719234000000;CALL;1688582413000;31.9;
WEGES319;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRWEGE3S0DH3;False;EUROPEAN;WEG ON, R$ 31.90, 19-07-2024;31.9;2024-06-22T10:18:38.777Z;0.02;2024-06-22T10:18:38.777Z;0;0.0;0.0;0.0;0.0;0;0.0;0.0;;7;41.08;0;84429695000111;2024-03-26T01:30:29.355Z;0;0;1719234000000;PUT;1718112458000;31.9;
WEGEG322;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRWEGE3G0D60;False;EUROPEAN;WEG ON, R$ 32.15, 19-07-2024;32.15;2024-06-22T10:18:38.909Z;8.64;2024-06-22T10:18:38.909Z;0;0.0;0.0;0.0;0.0;0;0.0;0.0;;7;41.08;0;84429695000111;2024-03-26T01:30:29.355Z;0;0;1719234000000;CALL;1718911071000;32.15;
WEGES322;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRWEGE3S0D99;False;EUROPEAN;WEG ON, R$ 32.15, 19-07-2024;32.15;2024-06-22T10:18:38.777Z;0.0;2024-06-22T10:18:38.777Z;0;0.0;0.0;0.0;0.0;0;0.0;0.0;;7;41.08;0;84429695000111;2024-03-26T01:30:29.355Z;0;0;1719234000000;PUT;1708546806000;32.15;
WEGEG324;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRWEGE3G0D52;False;AMERICAN;WEG ON, R$ 32.40, 19-07-2024;32.4;2024-06-22T10:18:38.909Z;0.0;2024-06-22T10:18:38.909Z;0;0.0;0.0;0.0;0.0;0;0.0;0.0;;7;41.08;0;84429695000111;2024-03-26T01:30:29.355Z;0;0;1719234000000;CALL;1688582413000;32.4;
WEGES324;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRWEGE3S0CD4;False;EUROPEAN;WEG ON, R$ 32.40, 19-07-2024;32.4;2024-06-22T10:18:38.777Z;0.01;2024-06-22T10:18:38.777Z;0;0.0;0.0;0.0;0.0;0;0.0;0.0;;7;41.08;0;84429695000111;2024-03-26T01:30:29.355Z;0;0;1719234000000;PUT;1718821365000;32.4;
WEGEG327;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRWEGE3G0D86;False;EUROPEAN;WEG ON, R$ 32.65, 19-07-2024;32.65;2024-06-22T10:18:38.909Z;5.99;2024-06-22T10:18:38.909Z;0;0.0;0.0;0.0;0.0;0;0.0;0.0;;7;41.08;0;84429695000111;2024-03-26T01:30:29.355Z;0;0;1719234000000;CALL;1718304157000;32.65;
