symbol;block_date;category;contract_size;days_to_maturity;due_date;exchange_id;isin;market_maker;maturity_type;name;strike;updated_at;close;created_at;financial_volume;high;low;open;variation;volume;cnpj;ask;bid;quotationForm;security_category;spot_price;trades;bid_volume;ask_volume;time;type;last_trade_at;strike_eod;warning
YDUQG100;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRYDUQ3G05U1;False;AMERICAN;YDUQS PART ON, R$ 9.73, 19-07-2024;9.73;2024-06-22T10:18:38.497Z;4.72;2024-06-22T10:18:38.497Z;0;0.0;0.0;0.0;0.0;0;08807432000110;0.0;0.0;;7;10.84;0;0;0;1719234000000;CALL;1715693228000;9.73;
YDUQS100;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRYDUQ3S05W2;False;EUROPEAN;YDUQS PART ON, R$ 9.73, 19-07-2024;9.73;2024-06-22T10:18:38.681Z;0.14;2024-06-22T10:18:38.681Z;28;0.14;0.14;0.14;0.0;200;08807432000110;0.16;0.12;;7;10.9;0;900;900;1719244526000;PUT;1719243458000;9.73;
YDUQG102;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRYDUQ3G07C5;False;EUROPEAN;YDUQS PART ON, R$ 9.98, 19-07-2024;9.98;2024-06-22T10:18:38.497Z;1.1;2024-06-22T10:18:38.497Z;0;0.0;0.0;0.0;0.0;0;;1.27;0.0;;7;10.84;0;0;300;1719245222000;CALL;1719216368000;9.98;
YDUQS102;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRYDUQ3S0777;True;EUROPEAN;YDUQS PART ON, R$ 9.98, 19-07-2024;9.98;2024-06-22T10:18:38.681Z;0.23;2024-06-22T10:18:38.681Z;0;0.0;0.0;0.0;0.0;0;;0.22;0.18;;7;10.84;0;900;900;1719244250000;PUT;1719216368000;9.98;
YDUQG105;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRYDUQ3G0631;False;AMERICAN;YDUQS PART ON, R$ 10.23, 19-07-2024;10.23;2024-06-22T10:18:38.497Z;0.83;2024-06-22T10:18:38.497Z;0;0.0;0.0;0.0;0.0;0;08807432000110;1.09;0.0;;7;10.84;0;0;300;1719245222000;CALL;1718736616000;10.23;
YDUQS105;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRYDUQ3S0686;False;EUROPEAN;YDUQS PART ON, R$ 10.23, 19-07-2024;10.23;2024-06-22T10:18:38.681Z;0.28;2024-06-22T10:18:38.681Z;0;0.0;0.0;0.0;0.0;0;08807432000110;0.28;0.24;;7;10.84;0;900;900;1719244526000;PUT;1718826820000;10.23;
YDUQG107;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRYDUQ3G07D3;False;EUROPEAN;YDUQS PART ON, R$ 10.48, 19-07-2024;10.48;2024-06-22T10:18:38.497Z;0.73;2024-06-22T10:18:38.497Z;0;0.0;0.0;0.0;0.0;0;;0.92;0.46;;7;10.84;0;900;300;1719245222000;CALL;1718735061000;10.48;
YDUQS107;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRYDUQ3S06T6;True;EUROPEAN;YDUQS PART ON, R$ 10.48, 19-07-2024;10.48;2024-06-22T10:18:38.681Z;0.37;2024-06-22T10:18:38.681Z;0;0.0;0.0;0.0;0.0;0;;0.36;0.33;;7;10.84;0;900;900;1719245229000;PUT;1719216368000;10.48;
YDUQG110;2024-07-18;CALL;100;19;2024-07-19;BOVESPA;BRYDUQ3G06L8;True;AMERICAN;YDUQS PART ON, R$ 10.73, 19-07-2024;10.73;2024-06-22T10:18:38.498Z;0.67;2024-06-22T10:18:38.498Z;13479;0.79;0.67;0.79;-2.899;20100;08807432000110;0.71;0.68;;7;10.84;0;20000;20000;1719245274000;CALL;1719240788000;10.73;
YDUQS110;2024-07-18;PUT;100;19;2024-07-19;BOVESPA;BRYDUQ3S0694;False;EUROPEAN;YDUQS PART ON, R$ 10.73, 19-07-2024;10.73;2024-06-22T10:18:38.681Z;0.47;2024-06-22T10:18:38.681Z;2068;0.47;0.47;0.47;-12.963;4400;08807432000110;0.53;0.37;;7;10.84;0;300;700;1719245274000;PUT;1719238321000;10.73;
